         4156350074 function calls (3321631611 primitive calls) in 1721.938 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.295    0.037 1721.897  215.237 drivers.py:1984(selection_step)
        8  120.337   15.042 1640.236  205.030 drivers.py:1908(psi_external_pt2)
  4167736   67.956    0.000  935.168    0.000 drivers.py:455(H_indices)
143287348  229.861    0.000  867.213    0.000 drivers.py:402(H_ij_indices)
417358900  135.611    0.000  453.641    0.000 typing.py:306(inner)
        8    0.689    0.086  368.953   46.119 drivers.py:1961(<listcomp>)
  1690261    1.307    0.000  368.376    0.000 drivers.py:1409(H_ii)
  5072314   36.948    0.000  364.147    0.000 {built-in method builtins.sum}
  1689751    0.902    0.000  347.902    0.000 drivers.py:474(H_ii)
834717776/417358892  189.524    0.000  318.030    0.000 typing.py:1037(__hash__)
381883726  157.164    0.000  314.530    0.000 drivers.py:475(<genexpr>)
278326636  274.336    0.000  277.000    0.000 drivers.py:178(exc_degree)
834717776/417358892  128.507    0.000  222.952    0.000 {built-in method builtins.hash}
139207008   81.081    0.000  207.854    0.000 drivers.py:339(H_ij)
384361695  101.972    0.000  102.058    0.000 drivers.py:375(H_ijkl_orbital)
  208/152    0.002    0.000   80.968    0.533 functools.py:961(__get__)
      122    0.001    0.000   76.982    0.631 drivers.py:1489(H_i_implicit_matrix_product)
        8    0.000    0.000   76.865    9.608 drivers.py:1843(E_and_psi_coef)
        8    0.009    0.001   76.865    9.608 drivers.py:1654(distributed_davidson)
       16    0.141    0.009   71.489    4.468 drivers.py:1467(H_i_2e_matrix_elements)
   137196    0.150    0.000   71.067    0.001 drivers.py:1086(H_indices)
   242477    0.196    0.000   70.809    0.000 drivers.py:1099(H_indices_idx)
381941356   58.838    0.000   58.838    0.000 drivers.py:384(H_ii_indices)
    74316    0.817    0.000   51.551    0.001 drivers.py:1048(category_G)
   679998    9.358    0.000   48.840    0.000 drivers.py:623(do_double_oppspin)
 11458450   28.559    0.000   40.886    0.000 drivers.py:209(single_phase)
  3346110    1.930    0.000   23.327    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
  3429210    2.570    0.000   22.029    0.000 drivers.py:235(single_exc)
 12792873   14.948    0.000   19.742    0.000 drivers.py:107(apply_excitation)
  1691026    2.029    0.000   19.071    0.000 drivers.py:332(H_ii)
    22918    0.152    0.000   12.813    0.001 drivers.py:878(category_E)
152326997   12.327    0.000   12.327    0.000 drivers.py:213(<lambda>)
   530232    3.632    0.000   12.208    0.000 drivers.py:599(do_double_samespin)
