         26785822 function calls (26513170 primitive calls) in 9.560 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001    9.520    4.760 drivers.py:1984(selection_step)
        2    0.109    0.054    7.240    3.620 drivers.py:1908(psi_external_pt2)
        2    0.010    0.005    6.231    3.115 drivers.py:1961(<listcomp>)
    27371    0.023    0.000    6.222    0.000 drivers.py:1409(H_ii)
    82132    0.625    0.000    6.151    0.000 {built-in method builtins.sum}
    27365    0.015    0.000    5.877    0.000 drivers.py:474(H_ii)
  6184490    2.630    0.000    5.310    0.000 drivers.py:475(<genexpr>)
    52/38    0.000    0.000    2.317    0.061 functools.py:961(__get__)
        2    0.000    0.000    2.235    1.117 drivers.py:1843(E_and_psi_coef)
        2    0.000    0.000    2.235    1.117 drivers.py:1654(distributed_davidson)
        7    0.000    0.000    2.232    0.319 drivers.py:1489(H_i_implicit_matrix_product)
        4    0.002    0.000    2.231    0.558 drivers.py:1467(H_i_2e_matrix_elements)
     1462    0.017    0.000    2.228    0.002 drivers.py:1086(H_indices)
    19602    0.025    0.000    2.183    0.000 drivers.py:1099(H_indices_idx)
  6206157    1.727    0.000    1.746    0.000 drivers.py:375(H_ijkl_orbital)
    10628    0.100    0.000    1.503    0.000 drivers.py:1048(category_G)
   114602    0.213    0.000    1.163    0.000 drivers.py:623(do_double_oppspin)
   238904    0.168    0.000    0.994    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
  6185168    0.981    0.000    0.981    0.000 drivers.py:384(H_ii_indices)
   479680    0.575    0.000    0.829    0.000 drivers.py:521(get_dets_occ_in_orbitals)
    49036    0.044    0.000    0.745    0.000 drivers.py:455(H_indices)
    94452    0.116    0.000    0.702    0.000 drivers.py:402(H_ij_indices)
    85024    0.111    0.000    0.491    0.000 drivers.py:599(do_double_samespin)
   130478    0.337    0.000    0.481    0.000 drivers.py:209(single_phase)
     3579    0.023    0.000    0.390    0.000 drivers.py:878(category_E)
    27380    0.033    0.000    0.320    0.000 drivers.py:332(H_ii)
    39366    0.021    0.000    0.257    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
    40342    0.029    0.000    0.242    0.000 drivers.py:235(single_exc)
   143736    0.163    0.000    0.218    0.000 drivers.py:107(apply_excitation)
     3020    0.004    0.000    0.174    0.000 drivers.py:713(category_C)
   136264    0.051    0.000    0.170    0.000 typing.py:306(inner)
     5976    0.021    0.000    0.163    0.000 drivers.py:725(do_single_C)
  1791250    0.144    0.000    0.144    0.000 drivers.py:213(<lambda>)
272522/136262    0.070    0.000    0.119    0.000 typing.py:1037(__hash__)
   273800    0.067    0.000    0.115    0.000 drivers.py:335(<genexpr>)
   479680    0.103    0.000    0.103    0.000 drivers.py:539(<listcomp>)
    23328    0.007    0.000    0.102    0.000 drivers.py:419(H_ij_doubleAA_indices)
   273800    0.060    0.000    0.100    0.000 drivers.py:336(<genexpr>)
    36284    0.028    0.000    0.099    0.000 drivers.py:35(integral_category)
     7118    0.015    0.000    0.095    0.000 drivers.py:889(do_single_E)
     7776    0.007    0.000    0.094    0.000 drivers.py:287(double_exc)
   493330    0.088    0.000    0.088    0.000 drivers.py:328(H_ij_orbital)
    27564    0.038    0.000    0.087    0.000 drivers.py:582(do_single)
    90860    0.077    0.000    0.086    0.000 drivers.py:178(exc_degree)
        4    0.000    0.000    0.084    0.021 drivers.py:1880(psi_external)
        4    0.015    0.004    0.083    0.021 drivers.py:160(gen_all_connected_determinant)
272522/136262    0.049    0.000    0.083    0.000 {built-in method builtins.hash}
    36284    0.044    0.000    0.071    0.000 integral_indexing_utils.py:143(canonical_idx4)
    45440    0.028    0.000    0.067    0.000 drivers.py:339(H_ij)
   145861    0.037    0.000    0.065    0.000 <string>:1(<lambda>)
     7776    0.006    0.000    0.065    0.000 drivers.py:252(double_phase)
    40342    0.062    0.000    0.062    0.000 drivers.py:217(single_exc_no_phase)
   159289    0.061    0.000    0.061    0.000 {built-in method builtins.sorted}
   243124    0.043    0.000    0.043    0.000 drivers.py:541(<listcomp>)
   238904    0.038    0.000    0.038    0.000 {method 'union' of 'set' objects}
   479704    0.036    0.000    0.036    0.000 {method 'items' of 'dict' objects}
   240776    0.035    0.000    0.035    0.000 {method 'intersection' of 'set' objects}
    39372    0.010    0.000    0.029    0.000 drivers.py:156(<genexpr>)
   145865    0.029    0.000    0.029    0.000 {built-in method __new__ of type object at 0x562b971a79a0}
        1    0.014    0.014    0.028    0.028 io.py:23(load_integrals)
    17523    0.012    0.000    0.028    0.000 integral_indexing_utils.py:47(compound_idx4)
    18146    0.014    0.000    0.028    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
   254609    0.024    0.000    0.024    0.000 {built-in method builtins.getattr}
     7776    0.017    0.000    0.023    0.000 drivers.py:265(double_exc_no_phase)
    87530    0.020    0.000    0.020    0.000 {built-in method builtins.min}
     8268    0.004    0.000    0.019    0.000 drivers.py:152(<genexpr>)
     8268    0.004    0.000    0.018    0.000 drivers.py:147(<genexpr>)
      744    0.001    0.000    0.017    0.000 drivers.py:995(category_F)
    14898    0.009    0.000    0.016    0.000 integral_indexing_utils.py:14(compound_idx2)
    87494    0.015    0.000    0.015    0.000 {built-in method builtins.max}
     9577    0.011    0.000    0.013    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
      371    0.001    0.000    0.013    0.000 drivers.py:795(category_D)
      738    0.002    0.000    0.011    0.000 drivers.py:806(do_single_D)
        1    0.000    0.000    0.009    0.009 argparse.py:1706(__init__)
     4327    0.006    0.000    0.008    0.000 drivers.py:173(exc_degree_spindet)
      9/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      9/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
      6/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
    13608    0.003    0.000    0.006    0.000 drivers.py:408(H_ij_single_indices)
     12/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      6/3    0.000    0.000    0.005    0.002 {built-in method builtins.exec}
        5    0.000    0.000    0.005    0.001 argparse.py:1404(add_argument)
     1172    0.001    0.000    0.005    0.000 drivers.py:678(category_B)
        5    0.000    0.000    0.005    0.001 argparse.py:2554(_get_formatter)
        5    0.000    0.000    0.005    0.001 argparse.py:170(__init__)
      490    0.000    0.000    0.004    0.000 drivers.py:342(H_ij_spindet)
     1172    0.001    0.000    0.004    0.000 drivers.py:689(do_diagonal_B)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        3    0.000    0.000    0.003    0.001 gettext.py:756(gettext)
        3    0.000    0.000    0.003    0.001 gettext.py:679(dgettext)
        3    0.000    0.000    0.003    0.001 gettext.py:598(translation)
        3    0.000    0.000    0.003    0.001 gettext.py:542(find)
