         214697872 function calls (214697531 primitive calls) in 76.406 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       42    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(eigh)
       42    0.005    0.000    0.005    0.000 linalg.py:1336(eigh)
      9/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
      6/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
     12/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      6/3    0.000    0.000    0.004    0.001 {built-in method builtins.exec}
        5    0.000    0.000    0.004    0.001 argparse.py:1404(add_argument)
        5    0.000    0.000    0.004    0.001 argparse.py:2554(_get_formatter)
        5    0.000    0.000    0.004    0.001 argparse.py:170(__init__)
      195    0.000    0.000    0.004    0.000 numerictypes.py:599(find_common_type)
       37    0.001    0.000    0.003    0.000 drivers.py:1599(mgs)
        5    0.003    0.001    0.003    0.001 drivers.py:1888(psi_external_local)
       42    0.000    0.000    0.003    0.000 fromnumeric.py:51(_wrapfunc)
      390    0.002    0.000    0.003    0.000 numerictypes.py:575(_can_coerce_all)
      929    0.000    0.000    0.003    0.000 drivers.py:654(category_A)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        5    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(argpartition)
       37    0.000    0.000    0.002    0.000 drivers.py:1622(preconditioning)
        5    0.000    0.000    0.002    0.000 fromnumeric.py:763(argpartition)
        5    0.002    0.000    0.002    0.000 {method 'argpartition' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.002    0.001 gettext.py:756(gettext)
        3    0.000    0.000    0.002    0.001 gettext.py:679(dgettext)
        3    0.000    0.000    0.002    0.001 gettext.py:598(translation)
        3    0.000    0.000    0.002    0.001 gettext.py:542(find)
     6440    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.002    0.000 gettext.py:211(_expand_lang)
      929    0.001    0.000    0.002    0.000 drivers.py:665(do_diagonal_A)
       20    0.000    0.000    0.002    0.000 re.py:288(_compile)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       16    0.000    0.000    0.002    0.000 re.py:249(compile)
        7    0.000    0.000    0.001    0.000 sre_compile.py:783(compile)
     5998    0.001    0.000    0.001    0.000 {built-in method math.isqrt}
      248    0.000    0.000    0.001    0.000 drivers.py:113(gen_all_connected_spindet)
      136    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      131    0.000    0.000    0.001    0.000 drivers.py:1635(print_master)
      116    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(norm)
      664    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
       37    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(clip)
       15    0.000    0.000    0.001    0.000 drivers.py:1189(spindet_occ_int)
       15    0.000    0.000    0.001    0.000 drivers.py:1163(get_spindet_a_occ_spindet_b_occ)
      116    0.001    0.000    0.001    0.000 linalg.py:2363(norm)
      400    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(dot)
        5    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(einsum)
       10    0.000    0.000    0.001    0.000 drivers.py:1081(exci)
       37    0.000    0.000    0.001    0.000 fromnumeric.py:2046(clip)
        5    0.000    0.000    0.001    0.000 einsumfunc.py:997(einsum)
        5    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
      248    0.001    0.000    0.001    0.000 drivers.py:93(gen_all_excitation)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       10    0.000    0.000    0.001    0.000 drivers.py:1076(N_orb)
      195    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
       37    0.000    0.000    0.001    0.000 {method 'clip' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       45    0.000    0.000    0.001    0.000 drivers.py:1182(<genexpr>)
        6    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       30    0.001    0.000    0.001    0.000 drivers.py:1175(get_dets_occ)
       37    0.000    0.000    0.001    0.000 _methods.py:125(_clip)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      464    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
