         10265655 function calls (10265538 primitive calls) in 3.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.713    3.713 drivers.py:1984(selection_step)
        1    0.020    0.020    3.126    3.126 drivers.py:1908(psi_external_pt2)
        1    0.004    0.004    1.995    1.995 drivers.py:1961(<listcomp>)
     9317    0.008    0.000    1.991    0.000 drivers.py:1409(H_ii)
    27958    0.189    0.000    1.969    0.000 {built-in method builtins.sum}
     9317    0.005    0.000    1.880    0.000 drivers.py:1144(H_ii)
  2105642    0.825    0.000    1.710    0.000 drivers.py:1145(<genexpr>)
     6906    0.017    0.000    1.633    0.000 drivers.py:1086(H_indices)
    24627    0.024    0.000    1.594    0.000 drivers.py:1099(H_indices_idx)
    32/22    0.000    0.000    1.101    0.050 functools.py:961(__get__)
    14379    0.094    0.000    1.096    0.000 drivers.py:1048(category_G)
        3    0.000    0.000    1.067    0.356 drivers.py:1489(H_i_implicit_matrix_product)
        2    0.001    0.000    1.066    0.533 drivers.py:1467(H_i_2e_matrix_elements)
   228060    0.153    0.000    0.907    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
   458928    0.530    0.000    0.759    0.000 drivers.py:521(get_dets_occ_in_orbitals)
   108823    0.127    0.000    0.723    0.000 drivers.py:623(do_double_oppspin)
  2103228    0.582    0.000    0.589    0.000 drivers.py:494(H_ijkl_orbital)
        1    0.000    0.000    0.568    0.568 drivers.py:1843(E_and_psi_coef)
        1    0.000    0.000    0.568    0.568 drivers.py:1654(distributed_davidson)
        1    0.000    0.000    0.503    0.503 drivers.py:1857(E)
    85189    0.080    0.000    0.411    0.000 drivers.py:599(do_double_samespin)
  2105642    0.307    0.000    0.307    0.000 drivers.py:503(H_ii_indices)
     3616    0.016    0.000    0.226    0.000 drivers.py:878(category_E)
     4447    0.005    0.000    0.160    0.000 drivers.py:713(category_C)
     7726    0.022    0.000    0.147    0.000 drivers.py:725(do_single_C)
     9320    0.011    0.000    0.104    0.000 drivers.py:332(H_ii)
    25826    0.070    0.000    0.099    0.000 drivers.py:209(single_phase)
   458928    0.094    0.000    0.094    0.000 drivers.py:539(<listcomp>)
    35448    0.025    0.000    0.090    0.000 drivers.py:35(integral_category)
    40427    0.053    0.000    0.071    0.000 drivers.py:107(apply_excitation)
    35448    0.039    0.000    0.065    0.000 integral_indexing_utils.py:143(canonical_idx4)
     5836    0.011    0.000    0.062    0.000 drivers.py:889(do_single_E)
    27160    0.020    0.000    0.044    0.000 drivers.py:582(do_single)
   228396    0.039    0.000    0.039    0.000 drivers.py:541(<listcomp>)
    93200    0.021    0.000    0.036    0.000 drivers.py:335(<genexpr>)
