         58014243 function calls (58014059 primitive calls) in 19.979 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.004    0.001   19.941    6.647 drivers.py:1984(selection_step)
        3    0.219    0.073   17.727    5.909 drivers.py:1908(psi_external_pt2)
        3    0.023    0.008   13.293    4.431 drivers.py:1961(<listcomp>)
    61651    0.045    0.000   13.273    0.000 drivers.py:1409(H_ii)
   184996    1.245    0.000   13.135    0.000 {built-in method builtins.sum}
    61651    0.030    0.000   12.562    0.000 drivers.py:1144(H_ii)
 13933126    5.696    0.000   11.449    0.000 drivers.py:1145(<genexpr>)
    48656    0.065    0.000    5.897    0.000 drivers.py:1086(H_indices)
   101819    0.085    0.000    5.773    0.000 drivers.py:1099(H_indices_idx)
    96/66    0.000    0.000    4.056    0.061 functools.py:961(__get__)
    59124    0.290    0.000    3.994    0.000 drivers.py:1048(category_G)
       16    0.000    0.000    3.840    0.240 drivers.py:1489(H_i_implicit_matrix_product)
        6    0.005    0.001    3.836    0.639 drivers.py:1467(H_i_2e_matrix_elements)
 13920122    3.752    0.000    3.760    0.000 drivers.py:494(H_ijkl_orbital)
   684180    0.472    0.000    2.801    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
   336475    0.505    0.000    2.766    0.000 drivers.py:623(do_double_oppspin)
  1376784    1.624    0.000    2.343    0.000 drivers.py:521(get_dets_occ_in_orbitals)
        3    0.000    0.000    2.114    0.705 drivers.py:1843(E_and_psi_coef)
        3    0.001    0.000    2.114    0.705 drivers.py:1654(distributed_davidson)
 13933126    2.024    0.000    2.024    0.000 drivers.py:503(H_ii_indices)
        3    0.000    0.000    1.736    0.579 drivers.py:1857(E)
   263530    0.296    0.000    1.450    0.000 drivers.py:599(do_double_samespin)
    14763    0.050    0.000    0.828    0.000 drivers.py:878(category_E)
    61672    0.064    0.000    0.666    0.000 drivers.py:332(H_ii)
   181121    0.457    0.000    0.652    0.000 drivers.py:209(single_phase)
    18174    0.016    0.000    0.575    0.000 drivers.py:713(category_C)
    28011    0.070    0.000    0.537    0.000 drivers.py:725(do_single_C)
   283186    0.350    0.000    0.466    0.000 drivers.py:107(apply_excitation)
  1376784    0.289    0.000    0.289    0.000 drivers.py:539(<listcomp>)
   106344    0.078    0.000    0.279    0.000 drivers.py:35(integral_category)
   182608    0.103    0.000    0.275    0.000 drivers.py:339(H_ij)
    88749    0.103    0.000    0.263    0.000 drivers.py:582(do_single)
   616720    0.138    0.000    0.230    0.000 drivers.py:335(<genexpr>)
    19653    0.034    0.000    0.227    0.000 drivers.py:889(do_single_E)
   616720    0.131    0.000    0.212    0.000 drivers.py:336(<genexpr>)
   106344    0.121    0.000    0.201    0.000 integral_indexing_utils.py:143(canonical_idx4)
        6    0.000    0.000    0.199    0.033 drivers.py:1880(psi_external)
        6    0.040    0.007    0.199    0.033 drivers.py:160(gen_all_connected_determinant)
  2403184    0.194    0.000    0.194    0.000 drivers.py:213(<lambda>)
  1111238    0.173    0.000    0.173    0.000 drivers.py:328(H_ij_orbital)
   182608    0.125    0.000    0.162    0.000 drivers.py:178(exc_degree)
   305226    0.076    0.000    0.138    0.000 <string>:1(<lambda>)
   685188    0.120    0.000    0.120    0.000 drivers.py:541(<listcomp>)
   283187    0.117    0.000    0.117    0.000 {built-in method builtins.sorted}
    13906    0.012    0.000    0.111    0.000 drivers.py:252(double_phase)
   684180    0.109    0.000    0.109    0.000 {method 'union' of 'set' objects}
  1376833    0.101    0.000    0.101    0.000 {method 'items' of 'dict' objects}
   692604    0.100    0.000    0.100    0.000 {method 'intersection' of 'set' objects}
     3260    0.005    0.000    0.069    0.000 drivers.py:995(category_F)
    91868    0.023    0.000    0.068    0.000 drivers.py:156(<genexpr>)
   305230    0.062    0.000    0.062    0.000 {built-in method __new__ of type object at 0x55f6cf94b9a0}
   515848    0.053    0.000    0.053    0.000 {built-in method builtins.getattr}
