         12461479358 function calls (9419067952 primitive calls) in 5537.406 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.616    0.068 5537.371  615.263 drivers.py:1984(selection_step)
        9  441.547   49.061 5365.367  596.152 drivers.py:1908(psi_external_pt2)
  8351802  245.985    0.000 3406.238    0.000 drivers.py:455(H_indices)
515420212  842.136    0.000 3160.253    0.000 drivers.py:402(H_ij_indices)
1521205302  487.457    0.000 1649.657    0.000 typing.py:306(inner)
3042410577/1521205293  674.649    0.000 1162.200    0.000 typing.py:1037(__hash__)
1014486380 1118.104    0.000 1122.448    0.000 drivers.py:178(exc_degree)
3042410577/1521205293  487.550    0.000  825.175    0.000 {built-in method builtins.hash}
507417952  299.000    0.000  823.706    0.000 drivers.py:339(H_ij)
        9    1.344    0.149  676.413   75.157 drivers.py:1961(<listcomp>)
  3127817    2.442    0.000  675.300    0.000 drivers.py:1409(H_ii)
  9386518   68.417    0.000  667.417    0.000 {built-in method builtins.sum}
  3126795    1.605    0.000  637.352    0.000 drivers.py:474(H_ii)
706655670  288.744    0.000  575.580    0.000 drivers.py:475(<genexpr>)
711880659  189.372    0.000  189.489    0.000 drivers.py:375(H_ijkl_orbital)
      151    0.001    0.000  162.642    1.077 drivers.py:1489(H_i_implicit_matrix_product)
        9    0.000    0.000  161.922   17.991 drivers.py:1843(E_and_psi_coef)
        9    0.011    0.001  161.922   17.991 drivers.py:1654(distributed_davidson)
  234/171    0.016    0.000  159.952    0.935 functools.py:961(__get__)
       18    0.308    0.017  139.707    7.761 drivers.py:1467(H_i_2e_matrix_elements)
   290255    0.240    0.000  138.522    0.000 drivers.py:1086(H_indices)
   410161    0.273    0.000  138.133    0.000 drivers.py:1099(H_indices_idx)
706771156  105.309    0.000  105.309    0.000 drivers.py:384(H_ii_indices)
    99112    1.072    0.000  100.569    0.001 drivers.py:1048(category_G)
   781724   18.945    0.000   97.126    0.000 drivers.py:623(do_double_oppspin)
 22985736   58.833    0.000   83.752    0.000 drivers.py:209(single_phase)
  6705342    4.516    0.000   48.860    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
  6872174    5.397    0.000   45.815    0.000 drivers.py:235(single_exc)
 25648976   30.988    0.000   40.659    0.000 drivers.py:107(apply_excitation)
  3129350    3.855    0.000   35.308    0.000 drivers.py:332(H_ii)
    33093    0.200    0.000   25.299    0.001 drivers.py:878(category_E)
303796233   24.919    0.000   24.919    0.000 drivers.py:213(<lambda>)
   612684    7.022    0.000   23.041    0.000 drivers.py:599(do_double_samespin)
      302   21.593    0.072   21.615    0.072 drivers.py:1500(H_i_implicit_matrix_product_step)
  3973536    1.488    0.000   19.592    0.000 drivers.py:419(H_ij_doubleAA_indices)
       18    0.000    0.000   18.608    1.034 drivers.py:1880(psi_external)
       18    4.000    0.222   18.606    1.034 drivers.py:160(gen_all_connected_determinant)
  1324512    1.374    0.000   18.104    0.000 drivers.py:287(double_exc)
  1611736    3.170    0.000   13.623    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
   200776    5.035    0.000   13.373    0.000 drivers.py:582(do_single)
  6872174   12.889    0.000   12.889    0.000 drivers.py:217(single_exc_no_phase)
 31293500    7.267    0.000   12.233    0.000 drivers.py:335(<genexpr>)
  1339372    1.335    0.000   11.913    0.000 drivers.py:252(double_phase)
 25652756    6.017    0.000   11.542    0.000 <string>:1(<lambda>)
 28298001   11.049    0.000   11.049    0.000 {built-in method builtins.sorted}
 31293500    6.696    0.000   10.989    0.000 drivers.py:336(<genexpr>)
  3231896    4.496    0.000   10.477    0.000 drivers.py:521(get_dets_occ_in_orbitals)
    39572    0.039    0.000    9.878    0.000 drivers.py:713(category_C)
    58784    0.176    0.000    9.792    0.000 drivers.py:725(do_single_C)
 56412350    9.366    0.000    9.366    0.000 drivers.py:328(H_ij_orbital)
  6706364    1.723    0.000    5.915    0.000 drivers.py:156(<genexpr>)
