         1694752393 function calls (1694751674 primitive calls) in 794.902 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.294    0.037  794.859   99.357 drivers.py:1984(selection_step)
        8  117.750   14.719  756.978   94.622 drivers.py:1908(psi_external_pt2)
        8    0.732    0.091  370.338   46.292 drivers.py:1961(<listcomp>)
  1690261    1.354    0.000  369.721    0.000 drivers.py:1409(H_ii)
  5072314   34.830    0.000  365.433    0.000 {built-in method builtins.sum}
  1690261    0.832    0.000  349.037    0.000 drivers.py:1144(H_ii)
381998986  156.867    0.000  317.855    0.000 drivers.py:1145(<genexpr>)
139207008   82.789    0.000  220.409    0.000 drivers.py:339(H_ij)
139207008  134.623    0.000  137.063    0.000 drivers.py:178(exc_degree)
382113931  103.540    0.000  103.552    0.000 drivers.py:494(H_ijkl_orbital)
  1805230    0.837    0.000   70.889    0.000 drivers.py:1086(H_indices)
  1946998    0.682    0.000   69.329    0.000 drivers.py:1099(H_indices_idx)
381998986   58.210    0.000   58.210    0.000 drivers.py:503(H_ii_indices)
  256/176    0.002    0.000   53.398    0.303 functools.py:961(__get__)
  1111996    1.238    0.000   48.963    0.000 drivers.py:1048(category_G)
      122    0.001    0.000   48.943    0.401 drivers.py:1489(H_i_implicit_matrix_product)
       16    0.149    0.009   43.472    2.717 drivers.py:1467(H_i_2e_matrix_elements)
  1494618    8.211    0.000   40.048    0.000 drivers.py:623(do_double_oppspin)
        8    0.000    0.000   33.242    4.155 drivers.py:1843(E_and_psi_coef)
        8    0.009    0.001   33.241    4.155 drivers.py:1654(distributed_davidson)
  6658170   15.733    0.000   22.450    0.000 drivers.py:209(single_phase)
  1691026    2.115    0.000   19.344    0.000 drivers.py:332(H_ii)
 10408152   12.406    0.000   16.279    0.000 drivers.py:107(apply_excitation)
        8    0.000    0.000   15.919    1.990 drivers.py:1857(E)
  1182333    3.908    0.000   15.703    0.000 drivers.py:599(do_double_samespin)
   277055    0.228    0.000   10.664    0.000 drivers.py:878(category_E)
  1824480    2.066    0.000   10.408    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
       16    0.000    0.000    8.755    0.547 drivers.py:1880(psi_external)
       16    1.777    0.111    8.754    0.547 drivers.py:160(gen_all_connected_determinant)
  3671424    4.910    0.000    8.388    0.000 drivers.py:521(get_dets_occ_in_orbitals)
   675682    2.930    0.000    8.281    0.000 drivers.py:582(do_single)
   340714    0.115    0.000    6.990    0.000 drivers.py:713(category_C)
   366946    0.283    0.000    6.811    0.000 drivers.py:725(do_single_C)
 16910260    3.923    0.000    6.732    0.000 drivers.py:335(<genexpr>)
 87080745    6.717    0.000    6.717    0.000 drivers.py:213(<lambda>)
 16910260    3.646    0.000    6.016    0.000 drivers.py:336(<genexpr>)
 30480258    5.213    0.000    5.213    0.000 drivers.py:328(H_ij_orbital)
      244    5.053    0.021    5.054    0.021 drivers.py:1500(H_i_implicit_matrix_product_step)
 11198967    2.503    0.000    4.969    0.000 <string>:1(<lambda>)
   516669    0.407    0.000    3.934    0.000 drivers.py:252(double_phase)
 10408153    3.873    0.000    3.873    0.000 {built-in method builtins.sorted}
   181271    0.136    0.000    2.985    0.000 drivers.py:889(do_single_E)
  3346620    0.852    0.000    2.847    0.000 drivers.py:156(<genexpr>)
 11198971    2.466    0.000    2.466    0.000 {built-in method __new__ of type object at 0x55a3d57219a0}
  1370851    1.594    0.000    2.439    0.000 drivers.py:173(exc_degree_spindet)
   702780    0.370    0.000    2.143    0.000 drivers.py:147(<genexpr>)
   702780    0.363    0.000    1.843    0.000 drivers.py:152(<genexpr>)
 18998674    1.624    0.000    1.624    0.000 {built-in method builtins.getattr}
  1824480    1.086    0.000    1.086    0.000 {method 'union' of 'set' objects}
    73523    0.029    0.000    0.944    0.000 drivers.py:995(category_F)
  3671424    0.879    0.000    0.879    0.000 drivers.py:539(<listcomp>)
  1846944    0.864    0.000    0.864    0.000 {method 'intersection' of 'set' objects}
   283584    0.230    0.000    0.825    0.000 drivers.py:35(integral_category)
  1370851    0.732    0.000    0.732    0.000 {method 'symmetric_difference' of 'set' objects}
       24    0.000    0.000    0.603    0.025 drivers.py:1184(det_to_index_ext)
       24    0.603    0.025    0.603    0.025 drivers.py:1187(<dictcomp>)
   283584    0.364    0.000    0.595    0.000 integral_indexing_utils.py:143(canonical_idx4)
    41790    0.057    0.000    0.544    0.000 drivers.py:342(H_ij_spindet)
    41790    0.050    0.000    0.454    0.000 drivers.py:235(single_exc)
    22561    0.011    0.000    0.452    0.000 drivers.py:795(category_D)
    25849    0.021    0.000    0.434    0.000 drivers.py:806(do_single_D)
       16    0.062    0.004    0.415    0.026 drivers.py:1455(H_i_1e_matrix_elements)
  1827168    0.346    0.000    0.346    0.000 drivers.py:541(<listcomp>)
  3671700    0.303    0.000    0.303    0.000 {method 'items' of 'dict' objects}
   115320    0.026    0.000    0.156    0.000 drivers.py:678(category_B)
      510    0.027    0.000    0.145    0.000 drivers.py:124(gen_all_connected_det_from_det)
   578856    0.130    0.000    0.130    0.000 {built-in method builtins.min}
   115320    0.031    0.000    0.122    0.000 drivers.py:689(do_diagonal_B)
   141816    0.107    0.000    0.115    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
        8    0.000    0.000    0.115    0.014 drivers.py:1413(D_i)
1380206/1380183    0.113    0.000    0.113    0.000 {built-in method builtins.len}
    41790    0.113    0.000    0.113    0.000 drivers.py:217(single_exc_no_phase)
   578854    0.108    0.000    0.108    0.000 {built-in method builtins.max}
     2911    0.104    0.000    0.104    0.000 {built-in method numpy.array}
   179901    0.095    0.000    0.095    0.000 drivers.py:569(do_diagonal)
5890/5352    0.021    0.000    0.071    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    58752    0.017    0.000    0.063    0.000 drivers.py:1013(do_diagonal_F)
        8    0.033    0.004    0.033    0.004 drivers.py:1888(psi_external_local)
        1    0.014    0.014    0.030    0.030 io.py:23(load_integrals)
      546    0.006    0.000    0.024    0.000 index_tricks.py:323(__getitem__)
      114    0.000    0.000    0.022    0.000 fromnumeric.py:51(_wrapfunc)
    12073    0.009    0.000    0.022    0.000 integral_indexing_utils.py:47(compound_idx4)
      106    0.001    0.000    0.021    0.000 drivers.py:1622(preconditioning)
        8    0.000    0.000    0.018    0.002 <__array_function__ internals>:2(argpartition)
        8    0.000    0.000    0.018    0.002 fromnumeric.py:763(argpartition)
        8    0.018    0.002    0.018    0.002 {method 'argpartition' of 'numpy.ndarray' objects}
     1108    0.001    0.000    0.015    0.000 <__array_function__ internals>:2(dot)
      114    0.000    0.000    0.015    0.000 <__array_function__ internals>:2(eigh)
      114    0.014    0.000    0.015    0.000 linalg.py:1336(eigh)
      106    0.006    0.000    0.015    0.000 drivers.py:1599(mgs)
    11618    0.008    0.000    0.013    0.000 integral_indexing_utils.py:14(compound_idx2)
      546    0.001    0.000    0.011    0.000 numerictypes.py:599(find_common_type)
     2040    0.003    0.000    0.011    0.000 drivers.py:113(gen_all_connected_spindet)
        1    0.000    0.000    0.010    0.010 argparse.py:1706(__init__)
     1092    0.006    0.000    0.009    0.000 numerictypes.py:575(_can_coerce_all)
      9/3    0.000    0.000    0.009    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
     5829    0.002    0.000    0.009    0.000 drivers.py:654(category_A)
      9/3    0.000    0.000    0.009    0.003 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     5998    0.007    0.000    0.008    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
     2040    0.008    0.000    0.008    0.000 drivers.py:93(gen_all_excitation)
      9/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:664(_load_unlocked)
      350    0.000    0.000    0.008    0.000 drivers.py:1635(print_master)
      358    0.008    0.000    0.008    0.000 {built-in method builtins.print}
      6/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap_external>:877(exec_module)
     5829    0.002    0.000    0.006    0.000 drivers.py:665(do_diagonal_A)
     12/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      6/3    0.000    0.000    0.006    0.002 {built-in method builtins.exec}
        8    0.000    0.000    0.006    0.001 <__array_function__ internals>:2(einsum)
        8    0.000    0.000    0.006    0.001 einsumfunc.py:997(einsum)
