         3643832748 function calls (3643831883 primitive calls) in 2050.734 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.610    0.068 2050.687  227.854 drivers.py:1984(selection_step)
        9  384.494   42.722 1966.970  218.552 drivers.py:1908(psi_external_pt2)
507417952  293.921    0.000  801.852    0.000 drivers.py:339(H_ij)
        9    1.449    0.161  690.300   76.700 drivers.py:1961(<listcomp>)
  3127817    2.700    0.000  689.072    0.000 drivers.py:1409(H_ii)
  9386518   65.785    0.000  680.697    0.000 {built-in method builtins.sum}
  3127817    1.672    0.000  650.047    0.000 drivers.py:1144(H_ii)
706886642  295.138    0.000  591.156    0.000 drivers.py:1145(<genexpr>)
507417952  502.981    0.000  506.790    0.000 drivers.py:178(exc_degree)
707392158  190.114    0.000  190.126    0.000 drivers.py:494(H_ijkl_orbital)
  3633360    1.571    0.000  131.912    0.000 drivers.py:1086(H_indices)
  3792849    1.166    0.000  128.898    0.000 drivers.py:1099(H_indices_idx)
706886642  107.317    0.000  107.317    0.000 drivers.py:503(H_ii_indices)
      151    0.001    0.000  102.876    0.681 drivers.py:1489(H_i_implicit_matrix_product)
  288/198    0.008    0.000  101.476    0.513 functools.py:961(__get__)
  2159421    1.699    0.000   91.081    0.000 drivers.py:1048(category_G)
       18    0.321    0.018   80.716    4.484 drivers.py:1467(H_i_2e_matrix_elements)
  2250733   15.423    0.000   76.341    0.000 drivers.py:623(do_double_oppspin)
        9    0.000    0.000   74.174    8.242 drivers.py:1843(E_and_psi_coef)
        9    0.011    0.001   74.173    8.241 drivers.py:1654(distributed_davidson)
 13359823   31.778    0.000   45.354    0.000 drivers.py:209(single_phase)
  3129350    4.025    0.000   36.348    0.000 drivers.py:332(H_ii)
 20863847   24.673    0.000   32.580    0.000 drivers.py:107(apply_excitation)
        9    0.000    0.000   29.065    3.229 drivers.py:1857(E)
  1788318    7.232    0.000   28.578    0.000 drivers.py:599(do_double_samespin)
      302   20.888    0.069   20.889    0.069 drivers.py:1500(H_i_implicit_matrix_product_step)
   541938    0.328    0.000   20.148    0.000 drivers.py:878(category_E)
       18    0.000    0.000   17.895    0.994 drivers.py:1880(psi_external)
       18    3.801    0.211   17.894    0.994 drivers.py:160(gen_all_connected_determinant)
  1183853    5.797    0.000   16.651    0.000 drivers.py:582(do_single)
  2052540    3.035    0.000   14.057    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
173725555   13.575    0.000   13.575    0.000 drivers.py:213(<lambda>)
   665656    0.199    0.000   13.087    0.000 drivers.py:713(category_C)
   695167    0.392    0.000   12.818    0.000 drivers.py:725(do_single_C)
 31293500    7.311    0.000   12.499    0.000 drivers.py:335(<genexpr>)
 31293500    6.791    0.000   11.257    0.000 drivers.py:336(<genexpr>)
  4130352    5.594    0.000   11.081    0.000 drivers.py:521(get_dets_occ_in_orbitals)
 22448358    4.979    0.000   10.405    0.000 <string>:1(<lambda>)
