         604163618 function calls (545442216 primitive calls) in 222.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.057    0.010  222.272   37.045 drivers.py:1984(selection_step)
        6    9.062    1.510  199.153   33.192 drivers.py:1908(psi_external_pt2)
        6    0.182    0.030  104.065   17.344 drivers.py:1961(<listcomp>)
   467411    0.346    0.000  103.912    0.000 drivers.py:1409(H_ii)
  1402612   11.419    0.000  102.785    0.000 {built-in method builtins.sum}
   467285    0.237    0.000   98.266    0.000 drivers.py:474(H_ii)
105606410   43.979    0.000   87.922    0.000 drivers.py:475(<genexpr>)
  1029684    5.074    0.000   71.062    0.000 drivers.py:455(H_indices)
 10816500   16.591    0.000   65.988    0.000 drivers.py:402(H_ij_indices)
 29360496    9.693    0.000   32.309    0.000 typing.py:306(inner)
106168797   28.551    0.000   28.610    0.000 drivers.py:375(H_ijkl_orbital)
  156/114    0.001    0.000   23.766    0.208 functools.py:961(__get__)
58720974/29360490   13.233    0.000   22.616    0.000 typing.py:1037(__hash__)
        6    0.000    0.000   22.079    3.680 drivers.py:1843(E_and_psi_coef)
        6    0.004    0.001   22.079    3.680 drivers.py:1654(distributed_davidson)
       69    0.000    0.000   22.059    0.320 drivers.py:1489(H_i_implicit_matrix_product)
       12    0.033    0.003   21.745    1.812 drivers.py:1467(H_i_2e_matrix_elements)
    32148    0.088    0.000   21.671    0.001 drivers.py:1086(H_indices)
   108633    0.122    0.000   21.505    0.000 drivers.py:1099(H_indices_idx)
 19579116   16.060    0.000   16.667    0.000 drivers.py:178(exc_degree)
105620648   16.130    0.000   16.130    0.000 drivers.py:384(H_ii_indices)
58720974/29360490    9.383    0.000   15.964    0.000 {built-in method builtins.hash}
    48706    0.505    0.000   15.546    0.000 drivers.py:1048(category_G)
   491104    2.559    0.000   13.756    0.000 drivers.py:623(do_double_oppspin)
  9792288    5.711    0.000   13.176    0.000 drivers.py:339(H_ij)
  2824010    7.026    0.000   10.056    0.000 drivers.py:209(single_phase)
   826686    0.436    0.000    5.487    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
   467600    0.546    0.000    5.276    0.000 drivers.py:332(H_ii)
   847194    0.581    0.000    5.182    0.000 drivers.py:235(single_exc)
  1027264    0.946    0.000    4.969    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
  3152396    3.479    0.000    4.639    0.000 drivers.py:107(apply_excitation)
   381088    1.119    0.000    4.144    0.000 drivers.py:599(do_double_samespin)
  2060144    2.512    0.000    4.033    0.000 drivers.py:521(get_dets_occ_in_orbitals)
    14187    0.094    0.000    3.775    0.000 drivers.py:878(category_E)
 37882136    3.030    0.000    3.030    0.000 drivers.py:213(<lambda>)
   489888    0.161    0.000    2.186    0.000 drivers.py:419(H_ij_doubleAA_indices)
   163296    0.140    0.000    2.025    0.000 drivers.py:287(double_exc)
       12    0.000    0.000    1.948    0.162 drivers.py:1880(psi_external)
       12    0.406    0.034    1.946    0.162 drivers.py:160(gen_all_connected_determinant)
  4676000    1.074    0.000    1.793    0.000 drivers.py:335(<genexpr>)
  4676000    1.004    0.000    1.627    0.000 drivers.py:336(<genexpr>)
   110356    0.612    0.000    1.570    0.000 drivers.py:582(do_single)
    13679    0.020    0.000    1.548    0.000 drivers.py:713(category_C)
    25806    0.091    0.000    1.500    0.000 drivers.py:725(do_single_C)
   163920    0.143    0.000    1.397    0.000 drivers.py:252(double_phase)
   847194    1.384    0.000    1.384    0.000 drivers.py:217(single_exc_no_phase)
  8427102    1.349    0.000    1.349    0.000 drivers.py:328(H_ij_orbital)
  3478989    1.292    0.000    1.292    0.000 {built-in method builtins.sorted}
  3155795    0.705    0.000    1.289    0.000 <string>:1(<lambda>)
    27318    0.060    0.000    0.788    0.000 drivers.py:889(do_single_E)
   826812    0.209    0.000    0.627    0.000 drivers.py:156(<genexpr>)
   322603    0.403    0.000    0.607    0.000 drivers.py:173(exc_degree_spindet)
  3155799    0.584    0.000    0.584    0.000 {built-in method __new__ of type object at 0x55ec6690c9a0}
