         9738947 function calls (9682937 primitive calls) in 3.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    3.486    3.486 drivers.py:1984(selection_step)
        1    0.029    0.029    2.303    2.303 drivers.py:1908(psi_external_pt2)
        1    0.003    0.003    2.020    2.020 drivers.py:1961(<listcomp>)
     9317    0.007    0.000    2.017    0.000 drivers.py:1409(H_ii)
    27958    0.204    0.000    1.995    0.000 {built-in method builtins.sum}
     9315    0.005    0.000    1.907    0.000 drivers.py:474(H_ii)
  2105190    0.851    0.000    1.723    0.000 drivers.py:475(<genexpr>)
        1    0.000    0.000    1.163    1.163 drivers.py:1843(E_and_psi_coef)
        1    0.000    0.000    1.163    1.163 drivers.py:1654(distributed_davidson)
    26/19    0.000    0.000    1.159    0.061 functools.py:961(__get__)
        3    0.000    0.000    1.126    0.375 drivers.py:1489(H_i_implicit_matrix_product)
        2    0.001    0.000    1.125    0.563 drivers.py:1467(H_i_2e_matrix_elements)
      453    0.009    0.000    1.124    0.002 drivers.py:1086(H_indices)
    10874    0.014    0.000    1.092    0.000 drivers.py:1099(H_indices_idx)
     6348    0.059    0.000    0.762    0.000 drivers.py:1048(category_G)
  2112219    0.571    0.000    0.588    0.000 drivers.py:375(H_ijkl_orbital)
   138796    0.096    0.000    0.566    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
    66358    0.100    0.000    0.552    0.000 drivers.py:623(do_double_oppspin)
   278528    0.329    0.000    0.472    0.000 drivers.py:521(get_dets_occ_in_orbitals)
  2105416    0.311    0.000    0.311    0.000 drivers.py:384(H_ii_indices)
    50768    0.056    0.000    0.263    0.000 drivers.py:599(do_double_samespin)
    16346    0.011    0.000    0.201    0.000 drivers.py:455(H_indices)
    25660    0.026    0.000    0.191    0.000 drivers.py:402(H_ij_indices)
     1872    0.012    0.000    0.183    0.000 drivers.py:878(category_E)
    43484    0.114    0.000    0.162    0.000 drivers.py:209(single_phase)
        1    0.092    0.092    0.123    0.123 io.py:23(load_integrals)
     9320    0.010    0.000    0.102    0.000 drivers.py:332(H_ii)
