         111853705 function calls (111853460 primitive calls) in 40.781 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.009    0.002   40.744   10.186 drivers.py:1984(selection_step)
        4    0.717    0.179   36.775    9.194 drivers.py:1908(psi_external_pt2)
        4    0.055    0.014   28.329    7.082 drivers.py:1961(<listcomp>)
   123537    0.110    0.000   28.281    0.000 drivers.py:1409(H_ii)
   370702    2.708    0.000   27.951    0.000 {built-in method builtins.sum}
   123537    0.066    0.000   26.688    0.000 drivers.py:1144(H_ii)
 27919362   11.857    0.000   24.253    0.000 drivers.py:1145(<genexpr>)
   104542    0.110    0.000   10.073    0.000 drivers.py:1086(H_indices)
   175426    0.135    0.000    9.871    0.000 drivers.py:1099(H_indices_idx)
 27900355    7.927    0.000    7.937    0.000 drivers.py:494(H_ijkl_orbital)
   128/88    0.001    0.000    7.068    0.080 functools.py:961(__get__)
   101542    0.451    0.000    6.869    0.000 drivers.py:1048(category_G)
       28    0.000    0.000    6.592    0.235 drivers.py:1489(H_i_implicit_matrix_product)
        8    0.011    0.001    6.577    0.822 drivers.py:1467(H_i_2e_matrix_elements)
   462830    0.947    0.000    4.879    0.000 drivers.py:623(do_double_oppspin)
 27919362    4.524    0.000    4.524    0.000 drivers.py:503(H_ii_indices)
   912240    0.738    0.000    4.143    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
        4    0.000    0.000    3.738    0.934 drivers.py:1843(E_and_psi_coef)
        4    0.002    0.000    3.738    0.934 drivers.py:1654(distributed_davidson)
  1835712    2.354    0.000    3.426    0.000 drivers.py:521(get_dets_occ_in_orbitals)
        4    0.000    0.000    2.874    0.718 drivers.py:1857(E)
   362686    0.535    0.000    2.447    0.000 drivers.py:599(do_double_samespin)
   123582    0.154    0.000    1.484    0.000 drivers.py:332(H_ii)
   388469    1.027    0.000    1.452    0.000 drivers.py:209(single_phase)
    25209    0.077    0.000    1.423    0.000 drivers.py:878(category_E)
   607146    0.817    0.000    1.077    0.000 drivers.py:107(apply_excitation)
   677888    0.412    0.000    1.052    0.000 drivers.py:339(H_ij)
    31113    0.026    0.000    0.986    0.000 drivers.py:713(category_C)
    44229    0.103    0.000    0.926    0.000 drivers.py:725(do_single_C)
   677888    0.524    0.000    0.618    0.000 drivers.py:178(exc_degree)
