         27440815 function calls (27168158 primitive calls) in 9.572 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001    9.532    4.766 drivers.py:1984(selection_step)
        2    0.097    0.049    6.899    3.450 drivers.py:1908(psi_external_pt2)
        2    0.010    0.005    5.945    2.973 drivers.py:1961(<listcomp>)
    27371    0.023    0.000    5.936    0.000 drivers.py:1409(H_ii)
    82132    0.614    0.000    5.871    0.000 {built-in method builtins.sum}
    27365    0.014    0.000    5.610    0.000 drivers.py:474(H_ii)
  6184490    2.518    0.000    5.052    0.000 drivers.py:475(<genexpr>)
    52/38    0.000    0.000    2.642    0.070 functools.py:961(__get__)
        2    0.000    0.000    2.588    1.294 drivers.py:1843(E_and_psi_coef)
        2    0.001    0.000    2.587    1.294 drivers.py:1654(distributed_davidson)
        8    0.000    0.000    2.558    0.320 drivers.py:1489(H_i_implicit_matrix_product)
        4    0.002    0.000    2.557    0.639 drivers.py:1467(H_i_2e_matrix_elements)
     1366    0.020    0.000    2.554    0.002 drivers.py:1086(H_indices)
    23197    0.029    0.000    2.501    0.000 drivers.py:1099(H_indices_idx)
    13376    0.124    0.000    1.756    0.000 drivers.py:1048(category_G)
  6206157    1.662    0.000    1.684    0.000 drivers.py:375(H_ijkl_orbital)
   139438    0.235    0.000    1.309    0.000 drivers.py:623(do_double_oppspin)
   291456    0.207    0.000    1.197    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
   584784    0.687    0.000    0.993    0.000 drivers.py:521(get_dets_occ_in_orbitals)
  6185168    0.900    0.000    0.900    0.000 drivers.py:384(H_ii_indices)
    49036    0.039    0.000    0.707    0.000 drivers.py:455(H_indices)
    94452    0.106    0.000    0.668    0.000 drivers.py:402(H_ij_indices)
   106896    0.128    0.000    0.589    0.000 drivers.py:599(do_double_samespin)
   131150    0.335    0.000    0.477    0.000 drivers.py:209(single_phase)
     3913    0.025    0.000    0.422    0.000 drivers.py:878(category_E)
    27380    0.029    0.000    0.302    0.000 drivers.py:332(H_ii)
    39366    0.019    0.000    0.244    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
   144803    0.184    0.000    0.243    0.000 drivers.py:107(apply_excitation)
    40338    0.026    0.000    0.231    0.000 drivers.py:235(single_exc)
     3461    0.005    0.000    0.196    0.000 drivers.py:713(category_C)
     6922    0.024    0.000    0.183    0.000 drivers.py:725(do_single_C)
   136264    0.047    0.000    0.163    0.000 typing.py:306(inner)
  1779982    0.141    0.000    0.141    0.000 drivers.py:213(<lambda>)
   584784    0.124    0.000    0.124    0.000 drivers.py:539(<listcomp>)
