         27602015 function calls (27601877 primitive calls) in 9.652 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001    9.618    4.809 drivers.py:1984(selection_step)
        2    0.069    0.034    8.351    4.176 drivers.py:1908(psi_external_pt2)
        2    0.010    0.005    5.865    2.932 drivers.py:1961(<listcomp>)
    27371    0.020    0.000    5.857    0.000 drivers.py:1409(H_ii)
    82132    0.549    0.000    5.795    0.000 {built-in method builtins.sum}
    27371    0.013    0.000    5.537    0.000 drivers.py:1144(H_ii)
  6185846    2.499    0.000    5.046    0.000 drivers.py:1145(<genexpr>)
    21828    0.037    0.000    3.507    0.000 drivers.py:1086(H_indices)
    57336    0.052    0.000    3.433    0.000 drivers.py:1099(H_indices_idx)
    64/44    0.000    0.000    2.382    0.054 functools.py:961(__get__)
    33418    0.189    0.000    2.372    0.000 drivers.py:1048(category_G)
        7    0.000    0.000    2.289    0.327 drivers.py:1489(H_i_implicit_matrix_product)
        4    0.002    0.000    2.288    0.572 drivers.py:1467(H_i_2e_matrix_elements)
   457104    0.317    0.000    1.833    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
  6180297    1.636    0.000    1.642    0.000 drivers.py:494(H_ijkl_orbital)
   220833    0.282    0.000    1.589    0.000 drivers.py:623(do_double_oppspin)
   919824    1.062    0.000    1.525    0.000 drivers.py:521(get_dets_occ_in_orbitals)
        2    0.000    0.000    1.227    0.614 drivers.py:1843(E_and_psi_coef)
        2    0.000    0.000    1.227    0.614 drivers.py:1654(distributed_davidson)
        2    0.000    0.000    1.066    0.533 drivers.py:1857(E)
  6185846    0.921    0.000    0.921    0.000 drivers.py:503(H_ii_indices)
   173174    0.176    0.000    0.879    0.000 drivers.py:599(do_double_samespin)
     8246    0.032    0.000    0.480    0.000 drivers.py:878(category_E)
    10398    0.010    0.000    0.344    0.000 drivers.py:713(category_C)
    16968    0.046    0.000    0.319    0.000 drivers.py:725(do_single_C)
    27380    0.029    0.000    0.300    0.000 drivers.py:332(H_ii)
    80776    0.206    0.000    0.295    0.000 drivers.py:209(single_phase)
   126434    0.153    0.000    0.204    0.000 drivers.py:107(apply_excitation)
   919824    0.191    0.000    0.191    0.000 drivers.py:539(<listcomp>)
    71028    0.051    0.000    0.181    0.000 drivers.py:35(integral_category)
    12352    0.023    0.000    0.136    0.000 drivers.py:889(do_single_E)
    71028    0.077    0.000    0.129    0.000 integral_indexing_utils.py:143(canonical_idx4)
    56614    0.051    0.000    0.124    0.000 drivers.py:582(do_single)
   273800    0.062    0.000    0.106    0.000 drivers.py:335(<genexpr>)
   273800    0.058    0.000    0.095    0.000 drivers.py:336(<genexpr>)
  1097926    0.088    0.000    0.088    0.000 drivers.py:213(<lambda>)
        4    0.000    0.000    0.085    0.021 drivers.py:1880(psi_external)
        4    0.015    0.004    0.085    0.021 drivers.py:160(gen_all_connected_determinant)
   493330    0.080    0.000    0.080    0.000 drivers.py:328(H_ij_orbital)
   457704    0.078    0.000    0.078    0.000 drivers.py:541(<listcomp>)
   919852    0.068    0.000    0.068    0.000 {method 'items' of 'dict' objects}
    45440    0.027    0.000    0.066    0.000 drivers.py:339(H_ij)
   457104    0.064    0.000    0.064    0.000 {method 'union' of 'set' objects}
   462720    0.062    0.000    0.062    0.000 {method 'intersection' of 'set' objects}
   134827    0.034    0.000    0.056    0.000 <string>:1(<lambda>)
   126435    0.051    0.000    0.051    0.000 {built-in method builtins.sorted}
     6278    0.005    0.000    0.050    0.000 drivers.py:252(double_phase)
     1815    0.003    0.000    0.045    0.000 drivers.py:995(category_F)
    45440    0.030    0.000    0.036    0.000 drivers.py:178(exc_degree)
    35520    0.024    0.000    0.032    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
   151083    0.031    0.000    0.031    0.000 {built-in method builtins.min}
        1    0.013    0.013    0.026    0.026 io.py:23(load_integrals)
   151052    0.025    0.000    0.025    0.000 {built-in method builtins.max}
     1056    0.001    0.000    0.025    0.000 drivers.py:795(category_D)
     8268    0.004    0.000    0.025    0.000 drivers.py:152(<genexpr>)
    39372    0.010    0.000    0.024    0.000 drivers.py:156(<genexpr>)
   231978    0.024    0.000    0.024    0.000 {built-in method builtins.getattr}
     1878    0.004    0.000    0.022    0.000 drivers.py:806(do_single_D)
   134831    0.022    0.000    0.022    0.000 {built-in method __new__ of type object at 0x564e517819a0}
     8268    0.004    0.000    0.019    0.000 drivers.py:147(<genexpr>)
     9177    0.006    0.000    0.015    0.000 integral_indexing_utils.py:47(compound_idx4)
     2216    0.001    0.000    0.014    0.000 drivers.py:678(category_B)
     2216    0.003    0.000    0.010    0.000 drivers.py:689(do_diagonal_B)
     8964    0.005    0.000    0.009    0.000 integral_indexing_utils.py:14(compound_idx2)
     6009    0.006    0.000    0.008    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
        1    0.000    0.000    0.007    0.007 argparse.py:1706(__init__)
      9/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     4327    0.004    0.000    0.006    0.000 drivers.py:173(exc_degree_spindet)
      9/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
        6    0.000    0.000    0.006    0.001 drivers.py:1184(det_to_index_ext)
        6    0.006    0.001    0.006    0.001 drivers.py:1187(<dictcomp>)
