         126127617 function calls (122062096 primitive calls) in 43.158 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.009    0.002   43.124   10.781 drivers.py:1984(selection_step)
        4    0.838    0.209   35.119    8.780 drivers.py:1908(psi_external_pt2)
        4    0.045    0.011   26.531    6.633 drivers.py:1961(<listcomp>)
   123537    0.089    0.000   26.493    0.000 drivers.py:1409(H_ii)
   370702    2.699    0.000   26.212    0.000 {built-in method builtins.sum}
   123507    0.063    0.000   25.034    0.000 drivers.py:474(H_ii)
 27912582   11.273    0.000   22.595    0.000 drivers.py:475(<genexpr>)
   104/76    0.000    0.000    8.194    0.108 functools.py:961(__get__)
        4    0.000    0.000    7.769    1.942 drivers.py:1843(E_and_psi_coef)
        4    0.002    0.000    7.769    1.942 drivers.py:1654(distributed_davidson)
       28    0.000    0.000    7.758    0.277 drivers.py:1489(H_i_implicit_matrix_product)
        8    0.008    0.001    7.744    0.968 drivers.py:1467(H_i_2e_matrix_elements)
     7486    0.047    0.000    7.728    0.001 drivers.py:1086(H_indices)
    55812    0.069    0.000    7.627    0.000 drivers.py:1099(H_indices_idx)
 28034235    7.387    0.000    7.426    0.000 drivers.py:375(H_ijkl_orbital)
   245168    0.390    0.000    6.457    0.000 drivers.py:455(H_indices)
   922708    1.292    0.000    6.067    0.000 drivers.py:402(H_ij_indices)
    29944    0.286    0.000    5.434    0.000 drivers.py:1048(category_G)
   309312    0.817    0.000    4.398    0.000 drivers.py:623(do_double_oppspin)
 27915972    4.089    0.000    4.089    0.000 drivers.py:384(H_ii_indices)
   647360    0.490    0.000    2.765    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
   667372    1.679    0.000    2.405    0.000 drivers.py:209(single_phase)
  2032652    0.676    0.000    2.331    0.000 typing.py:306(inner)
  1298464    1.533    0.000    2.281    0.000 drivers.py:521(get_dets_occ_in_orbitals)
4065292/2032648    0.950    0.000    1.655    0.000 typing.py:1037(__hash__)
   238628    0.397    0.000    1.649    0.000 drivers.py:599(do_double_samespin)
   123582    0.130    0.000    1.364    0.000 drivers.py:332(H_ii)
     8726    0.054    0.000    1.304    0.000 drivers.py:878(category_E)
   196830    0.105    0.000    1.257    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
   201714    0.135    0.000    1.182    0.000 drivers.py:235(single_exc)
4065292/2032648    0.705    0.000    1.171    0.000 {built-in method builtins.hash}
   742658    0.849    0.000    1.135    0.000 drivers.py:107(apply_excitation)
  1355436    1.020    0.000    1.117    0.000 drivers.py:178(exc_degree)
   677888    0.389    0.000    0.877    0.000 drivers.py:339(H_ij)
  8981429    0.726    0.000    0.726    0.000 drivers.py:213(<lambda>)
     8070    0.012    0.000    0.573    0.000 drivers.py:713(category_C)
    15748    0.054    0.000    0.544    0.000 drivers.py:725(do_single_C)
   116640    0.036    0.000    0.510    0.000 drivers.py:419(H_ij_doubleAA_indices)
  1235820    0.284    0.000    0.475    0.000 drivers.py:335(<genexpr>)
    38880    0.033    0.000    0.473    0.000 drivers.py:287(double_exc)
        8    0.000    0.000    0.438    0.055 drivers.py:1880(psi_external)
        8    0.085    0.011    0.438    0.055 drivers.py:160(gen_all_connected_determinant)
  1235820    0.266    0.000    0.437    0.000 drivers.py:336(<genexpr>)
    69440    0.165    0.000    0.404    0.000 drivers.py:582(do_single)
  2226930    0.364    0.000    0.364    0.000 drivers.py:328(H_ij_orbital)
    38916    0.032    0.000    0.332    0.000 drivers.py:252(double_phase)
   745876    0.177    0.000    0.323    0.000 <string>:1(<lambda>)
   820419    0.314    0.000    0.314    0.000 {built-in method builtins.sorted}
   201714    0.308    0.000    0.308    0.000 drivers.py:217(single_exc_no_phase)
    17236    0.036    0.000    0.295    0.000 drivers.py:889(do_single_E)
  1298464    0.278    0.000    0.278    0.000 drivers.py:539(<listcomp>)
    96660    0.074    0.000    0.261    0.000 drivers.py:35(integral_category)
    96660    0.112    0.000    0.186    0.000 integral_indexing_utils.py:143(canonical_idx4)
   196860    0.050    0.000    0.155    0.000 drivers.py:156(<genexpr>)
   745880    0.146    0.000    0.146    0.000 {built-in method __new__ of type object at 0x56508d3349a0}
   647360    0.143    0.000    0.143    0.000 {method 'union' of 'set' objects}
  1320883    0.119    0.000    0.119    0.000 {built-in method builtins.getattr}
   651104    0.117    0.000    0.117    0.000 {method 'intersection' of 'set' objects}
   654480    0.113    0.000    0.113    0.000 drivers.py:541(<listcomp>)
    38880    0.080    0.000    0.109    0.000 drivers.py:265(double_exc_no_phase)
    41340    0.021    0.000    0.098    0.000 drivers.py:152(<genexpr>)
  1298532    0.097    0.000    0.097    0.000 {method 'items' of 'dict' objects}
    55073    0.064    0.000    0.097    0.000 drivers.py:173(exc_degree_spindet)
    41340    0.021    0.000    0.092    0.000 drivers.py:147(<genexpr>)
    48338    0.035    0.000    0.054    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
    30935    0.024    0.000    0.049    0.000 integral_indexing_utils.py:47(compound_idx4)
   215255    0.047    0.000    0.047    0.000 {built-in method builtins.min}
     2772    0.003    0.000    0.045    0.000 drivers.py:995(category_F)
     1026    0.002    0.000    0.042    0.000 drivers.py:795(category_D)
   215225    0.040    0.000    0.040    0.000 {built-in method builtins.max}
     2036    0.005    0.000    0.038    0.000 drivers.py:806(do_single_D)
    68040    0.014    0.000    0.029    0.000 drivers.py:408(H_ij_single_indices)
    55073    0.026    0.000    0.026    0.000 {method 'symmetric_difference' of 'set' objects}
        1    0.014    0.014    0.026    0.026 io.py:23(load_integrals)
    21869    0.014    0.000    0.025    0.000 integral_indexing_utils.py:14(compound_idx2)
    13599    0.016    0.000    0.018    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
     2454    0.002    0.000    0.017    0.000 drivers.py:342(H_ij_spindet)
     4990    0.002    0.000    0.012    0.000 drivers.py:678(category_B)
       56    0.011    0.000    0.011    0.000 drivers.py:1500(H_i_implicit_matrix_product_step)
     4990    0.003    0.000    0.010    0.000 drivers.py:689(do_diagonal_B)
       30    0.002    0.000    0.008    0.000 drivers.py:124(gen_all_connected_det_from_det)
        4    0.000    0.000    0.008    0.002 drivers.py:1857(E)
      475    0.008    0.000    0.008    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.007    0.007 argparse.py:1706(__init__)
        4    0.000    0.000    0.007    0.002 drivers.py:1413(D_i)
57200/57177    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      9/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:1022(_find_and_load)
       30    0.000    0.000    0.006    0.000 drivers.py:1144(H_ii)
      9/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      9/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
     6780    0.003    0.000    0.006    0.000 drivers.py:1145(<genexpr>)
      6/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
  918/814    0.001    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    14232    0.005    0.000    0.005    0.000 drivers.py:494(H_ijkl_orbital)
     2772    0.002    0.000    0.005    0.000 drivers.py:1013(do_diagonal_F)
     12/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      6/3    0.000    0.000    0.004    0.001 {built-in method builtins.exec}
        5    0.000    0.000    0.004    0.001 argparse.py:1404(add_argument)
      108    0.001    0.000    0.004    0.000 index_tricks.py:323(__getitem__)
     8046    0.004    0.000    0.004    0.000 drivers.py:569(do_diagonal)
        5    0.000    0.000    0.004    0.001 argparse.py:2554(_get_formatter)
        5    0.000    0.000    0.004    0.001 argparse.py:170(__init__)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        8    0.000    0.000    0.003    0.000 drivers.py:1455(H_i_1e_matrix_elements)
    13599    0.003    0.000    0.003    0.000 {built-in method math.isqrt}
