         121793206 function calls (117826307 primitive calls) in 40.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.010    0.002   40.842   10.210 drivers.py:1984(selection_step)
        4    0.827    0.207   33.866    8.466 drivers.py:1908(psi_external_pt2)
        4    0.046    0.011   25.681    6.420 drivers.py:1961(<listcomp>)
   120323    0.090    0.000   25.642    0.000 drivers.py:1409(H_ii)
   361060    2.600    0.000   25.358    0.000 {built-in method builtins.sum}
   120293    0.060    0.000   24.231    0.000 drivers.py:474(H_ii)
 27186218   10.912    0.000   21.881    0.000 drivers.py:475(<genexpr>)
   104/76    0.000    0.000    7.172    0.094 functools.py:961(__get__)
 27311085    7.142    0.000    7.172    0.000 drivers.py:375(H_ijkl_orbital)
        4    0.000    0.000    6.758    1.689 drivers.py:1843(E_and_psi_coef)
        4    0.001    0.000    6.758    1.689 drivers.py:1654(distributed_davidson)
       22    0.000    0.000    6.751    0.307 drivers.py:1489(H_i_implicit_matrix_product)
        8    0.008    0.001    6.740    0.842 drivers.py:1467(H_i_2e_matrix_elements)
     7578    0.037    0.000    6.724    0.001 drivers.py:1086(H_indices)
    47049    0.055    0.000    6.642    0.000 drivers.py:1099(H_indices_idx)
   245168    0.385    0.000    6.104    0.000 drivers.py:455(H_indices)
   906276    1.229    0.000    5.718    0.000 drivers.py:402(H_ij_indices)
    23707    0.224    0.000    4.682    0.000 drivers.py:1048(category_G)
 27189608    3.960    0.000    3.960    0.000 drivers.py:384(H_ii_indices)
   251136    0.732    0.000    3.932    0.000 drivers.py:623(do_double_oppspin)
   659202    1.612    0.000    2.317    0.000 drivers.py:209(single_phase)
   523192    0.388    0.000    2.241    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
  1983356    0.666    0.000    2.204    0.000 typing.py:306(inner)
  1050128    1.250    0.000    1.859    0.000 drivers.py:521(get_dets_occ_in_orbitals)
3966700/1983352    0.896    0.000    1.538    0.000 typing.py:1037(__hash__)
   188496    0.344    0.000    1.369    0.000 drivers.py:599(do_double_samespin)
   120368    0.136    0.000    1.316    0.000 drivers.py:332(H_ii)
   196830    0.093    0.000    1.210    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
     7742    0.048    0.000    1.191    0.000 drivers.py:878(category_E)
   201714    0.129    0.000    1.145    0.000 drivers.py:235(single_exc)
3966700/1983352    0.641    0.000    1.078    0.000 {built-in method builtins.hash}
   728924    0.765    0.000    1.034    0.000 drivers.py:107(apply_excitation)
  1322572    0.993    0.000    1.029    0.000 drivers.py:178(exc_degree)
   661456    0.384    0.000    0.865    0.000 drivers.py:339(H_ij)
  8982562    0.704    0.000    0.704    0.000 drivers.py:213(<lambda>)
     6698    0.009    0.000    0.498    0.000 drivers.py:713(category_C)
   116640    0.034    0.000    0.481    0.000 drivers.py:419(H_ij_doubleAA_indices)
    13012    0.044    0.000    0.475    0.000 drivers.py:725(do_single_C)
  1203680    0.271    0.000    0.455    0.000 drivers.py:335(<genexpr>)
    38880    0.031    0.000    0.446    0.000 drivers.py:287(double_exc)
        8    0.000    0.000    0.422    0.053 drivers.py:1880(psi_external)
        8    0.083    0.010    0.421    0.053 drivers.py:160(gen_all_connected_determinant)
  1203680    0.256    0.000    0.416    0.000 drivers.py:336(<genexpr>)
    59128    0.156    0.000    0.378    0.000 drivers.py:582(do_single)
  2169078    0.346    0.000    0.346    0.000 drivers.py:328(H_ij_orbital)
    39000    0.031    0.000    0.310    0.000 drivers.py:252(double_phase)
   201714    0.299    0.000    0.299    0.000 drivers.py:217(single_exc_no_phase)
   736311    0.168    0.000    0.299    0.000 <string>:1(<lambda>)
   806685    0.296    0.000    0.296    0.000 {built-in method builtins.sorted}
    15244    0.032    0.000    0.268    0.000 drivers.py:889(do_single_E)
  1050128    0.228    0.000    0.228    0.000 drivers.py:539(<listcomp>)
    78950    0.059    0.000    0.208    0.000 drivers.py:35(integral_category)
