         8383972743 function calls (8383971722 primitive calls) in 6049.136 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    1.195    0.119 6048.952  604.895 drivers.py:1984(selection_step)
       10 1433.901  143.390 5830.061  583.006 drivers.py:1908(psi_external_pt2)
1795855712 1059.278    0.000 2990.891    0.000 drivers.py:339(H_ij)
1795855712 1922.061    0.000 1929.091    0.000 drivers.py:178(exc_degree)
       10    2.647    0.265 1236.255  123.625 drivers.py:1961(<listcomp>)
  5642761    4.736    0.000 1234.069    0.000 drivers.py:1409(H_ii)
 16934422  116.917    0.000 1218.890    0.000 {built-in method builtins.sum}
  5642761    2.931    0.000 1164.489    0.000 drivers.py:1144(H_ii)
1275263986  523.560    0.000 1059.807    0.000 drivers.py:1145(<genexpr>)
1276949867  343.182    0.000  343.194    0.000 drivers.py:494(H_ijkl_orbital)
  7328672    2.836    0.000  254.942    0.000 drivers.py:1086(H_indices)
      182    0.001    0.000  251.523    1.382 drivers.py:1489(H_i_implicit_matrix_product)
  7505882    2.039    0.000  249.430    0.000 drivers.py:1099(H_indices_idx)
  320/220    0.035    0.000  205.155    0.933 functools.py:961(__get__)
       10    0.000    0.000  198.507   19.851 drivers.py:1843(E_and_psi_coef)
       10    0.016    0.002  198.507   19.851 drivers.py:1654(distributed_davidson)
1275263986  195.757    0.000  195.757    0.000 drivers.py:503(H_ii_indices)
  4258009    2.498    0.000  176.192    0.000 drivers.py:1048(category_G)
       20    0.734    0.037  159.625    7.981 drivers.py:1467(H_i_2e_matrix_elements)
  3664767   31.014    0.000  150.034    0.000 drivers.py:623(do_double_oppspin)
 26807588   63.303    0.000   90.428    0.000 drivers.py:209(single_phase)
      364   87.394    0.240   87.395    0.240 drivers.py:1500(H_i_implicit_matrix_product_step)
 41773916   50.631    0.000   66.798    0.000 drivers.py:107(apply_excitation)
  5645830    7.555    0.000   64.886    0.000 drivers.py:332(H_ii)
  2926950   13.920    0.000   54.454    0.000 drivers.py:599(do_double_samespin)
       10    0.000    0.000   54.004    5.400 drivers.py:1857(E)
  1080303    0.505    0.000   39.500    0.000 drivers.py:878(category_E)
       20    0.000    0.000   37.933    1.897 drivers.py:1880(psi_external)
       20    8.178    0.409   37.931    1.897 drivers.py:160(gen_all_connected_determinant)
  2195840   11.675    0.000   34.031    0.000 drivers.py:582(do_single)
346628903   27.125    0.000   27.125    0.000 drivers.py:213(<lambda>)
  1325724    0.345    0.000   25.554    0.000 drivers.py:713(category_C)
  1358514    0.567    0.000   25.132    0.000 drivers.py:725(do_single_C)
 56458300   12.958    0.000   22.223    0.000 drivers.py:335(<genexpr>)
 44944592   10.507    0.000   21.765    0.000 <string>:1(<lambda>)
  2280600    4.714    0.000   20.486    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
 56458300   12.022    0.000   19.942    0.000 drivers.py:336(<genexpr>)
101794726   17.355    0.000   17.355    0.000 drivers.py:328(H_ij_orbital)
 41773917   16.167    0.000   16.167    0.000 {built-in method builtins.sorted}
  4589280    6.823    0.000   15.856    0.000 drivers.py:521(get_dets_occ_in_orbitals)
  2094870    1.514    0.000   15.435    0.000 drivers.py:252(double_phase)
 13425852    3.580    0.000   12.414    0.000 drivers.py:156(<genexpr>)
 44944596   11.258    0.000   11.258    0.000 {built-in method __new__ of type object at 0x559c3dc089a0}
   623298    0.260    0.000   10.981    0.000 drivers.py:889(do_single_E)
  2819388    1.546    0.000    8.552    0.000 drivers.py:147(<genexpr>)
  2819388    1.528    0.000    8.037    0.000 drivers.py:152(<genexpr>)
 76323725    7.805    0.000    7.805    0.000 {built-in method builtins.getattr}
  3751892    4.703    0.000    7.030    0.000 drivers.py:173(exc_degree_spindet)
       20    1.230    0.062    4.467    0.223 drivers.py:1455(H_i_1e_matrix_elements)
  2280600    3.807    0.000    3.807    0.000 {method 'union' of 'set' objects}
   284261    0.078    0.000    3.397    0.000 drivers.py:995(category_F)
  2308680    3.119    0.000    3.119    0.000 {method 'intersection' of 'set' objects}
   169786    0.284    0.000    2.479    0.000 drivers.py:342(H_ij_spindet)
       30    0.000    0.000    2.472    0.082 drivers.py:1184(det_to_index_ext)
       30    2.472    0.082    2.472    0.082 drivers.py:1187(<dictcomp>)
   169786    0.243    0.000    2.024    0.000 drivers.py:235(single_exc)
  3751892    2.010    0.000    2.010    0.000 {method 'symmetric_difference' of 'set' objects}
    82898    0.028    0.000    1.590    0.000 drivers.py:795(category_D)
    87008    0.039    0.000    1.552    0.000 drivers.py:806(do_single_D)
  4589280    1.139    0.000    1.139    0.000 drivers.py:539(<listcomp>)
   354480    0.290    0.000    1.057    0.000 drivers.py:35(integral_category)
   354480    0.453    0.000    0.768    0.000 integral_indexing_utils.py:143(canonical_idx4)
     2046    0.110    0.000    0.750    0.000 drivers.py:124(gen_all_connected_det_from_det)
   169786    0.586    0.000    0.586    0.000 drivers.py:217(single_exc_no_phase)
9456/8636    0.174    0.000    0.523    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  4589682    0.517    0.000    0.517    0.000 {method 'items' of 'dict' objects}
   453118    0.093    0.000    0.509    0.000 drivers.py:678(category_B)
       10    0.002    0.000    0.463    0.046 drivers.py:1413(D_i)
  2283960    0.451    0.000    0.451    0.000 drivers.py:541(<listcomp>)
   453118    0.095    0.000    0.406    0.000 drivers.py:689(do_diagonal_B)
   700245    0.396    0.000    0.396    0.000 drivers.py:569(do_diagonal)
     4656    0.362    0.000    0.362    0.000 {built-in method numpy.array}
3765927/3765904    0.318    0.000    0.318    0.000 {built-in method builtins.len}
      172    0.000    0.000    0.221    0.001 <__array_function__ internals>:2(eigh)
      172    0.218    0.001    0.221    0.001 linalg.py:1336(eigh)
   225558    0.047    0.000    0.202    0.000 drivers.py:1013(do_diagonal_F)
   720790    0.189    0.000    0.189    0.000 {built-in method builtins.min}
     1680    0.001    0.000    0.162    0.000 <__array_function__ internals>:2(dot)
   177270    0.146    0.000    0.154    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
       10    0.154    0.015    0.154    0.015 drivers.py:1888(psi_external_local)
   720798    0.139    0.000    0.139    0.000 {built-in method builtins.max}
        1    0.054    0.054    0.126    0.126 io.py:23(load_integrals)
      162    0.002    0.000    0.095    0.001 drivers.py:1622(preconditioning)
     8184    0.010    0.000    0.068    0.000 drivers.py:113(gen_all_connected_spindet)
     3532    0.063    0.000    0.063    0.000 {built-in method numpy.zeros}
     2076    0.060    0.000    0.060    0.000 {method 'Allreduce' of 'mpi4py.MPI.Comm' objects}
     8184    0.058    0.000    0.058    0.000 drivers.py:93(gen_all_excitation)
      172    0.000    0.000    0.057    0.000 fromnumeric.py:51(_wrapfunc)
