         1498644515 function calls (1276918441 primitive calls) in 609.880 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.167    0.024  609.830   87.119 drivers.py:1984(selection_step)
        7   33.691    4.813  563.363   80.480 drivers.py:1908(psi_external_pt2)
  2075702   19.615    0.000  275.114    0.000 drivers.py:455(H_indices)
 39029940   66.309    0.000  255.499    0.000 drivers.py:402(H_ij_indices)
        7    0.422    0.060  197.531   28.219 drivers.py:1961(<listcomp>)
   891966    0.730    0.000  197.170    0.000 drivers.py:1409(H_ii)
  2676661   19.645    0.000  194.781    0.000 {built-in method builtins.sum}
   891712    0.498    0.000  186.038    0.000 drivers.py:474(H_ii)
201526912   84.280    0.000  168.288    0.000 drivers.py:475(<genexpr>)
110862770   37.585    0.000  126.118    0.000 typing.py:306(inner)
221725519/110862763   51.510    0.000   88.533    0.000 typing.py:1037(__hash__)
 73930348   75.265    0.000   76.835    0.000 drivers.py:178(exc_degree)
221725519/110862763   37.024    0.000   62.832    0.000 {built-in method builtins.hash}
202710888   55.833    0.000   55.926    0.000 drivers.py:375(H_ijkl_orbital)
 36976096   21.409    0.000   52.629    0.000 drivers.py:339(H_ij)
  182/133    0.001    0.000   47.482    0.357 functools.py:961(__get__)
       95    0.001    0.000   43.771    0.461 drivers.py:1489(H_i_implicit_matrix_product)
        7    0.000    0.000   43.769    6.253 drivers.py:1843(E_and_psi_coef)
        7    0.007    0.001   43.769    6.253 drivers.py:1654(distributed_davidson)
       14    0.072    0.005   42.316    3.023 drivers.py:1467(H_i_2e_matrix_elements)
    65905    0.140    0.000   42.139    0.001 drivers.py:1086(H_indices)
   156716    0.181    0.000   41.878    0.000 drivers.py:1099(H_indices_idx)
    59717    0.709    0.000   30.346    0.001 drivers.py:1048(category_G)
201555614   30.115    0.000   30.115    0.000 drivers.py:384(H_ii_indices)
   584316    5.480    0.000   27.789    0.000 drivers.py:623(do_double_oppspin)
  5700582   15.048    0.000   21.326    0.000 drivers.py:209(single_phase)
  1666494    1.039    0.000   12.137    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
  1707838    1.366    0.000   11.403    0.000 drivers.py:235(single_exc)
  6365586    8.103    0.000   10.697    0.000 drivers.py:107(apply_excitation)
   892347    1.166    0.000   10.351    0.000 drivers.py:332(H_ii)
   454304    2.206    0.000    7.677    0.000 drivers.py:599(do_double_samespin)
    17641    0.134    0.000    7.455    0.000 drivers.py:878(category_E)
  1220424    1.396    0.000    7.149    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
 76182937    6.278    0.000    6.278    0.000 drivers.py:213(<lambda>)
  2447400    3.331    0.000    5.767    0.000 drivers.py:521(get_dets_occ_in_orbitals)
       14    0.000    0.000    4.916    0.351 drivers.py:1880(psi_external)
       14    1.087    0.078    4.915    0.351 drivers.py:160(gen_all_connected_determinant)
   987552    0.370    0.000    4.837    0.000 drivers.py:419(H_ij_doubleAA_indices)
   329184    0.346    0.000    4.467    0.000 drivers.py:287(double_exc)
  8923470    2.101    0.000    3.601    0.000 drivers.py:335(<genexpr>)
   132872    1.365    0.000    3.555    0.000 drivers.py:582(do_single)
  8923470    1.918    0.000    3.194    0.000 drivers.py:336(<genexpr>)
  1707838    3.165    0.000    3.165    0.000 drivers.py:217(single_exc_no_phase)
    17580    0.027    0.000    3.040    0.000 drivers.py:713(category_C)
  6369191    1.623    0.000    3.015    0.000 <string>:1(<lambda>)
    32000    0.122    0.000    2.977    0.000 drivers.py:725(do_single_C)
   331032    0.325    0.000    2.954    0.000 drivers.py:252(double_phase)
  7023955    2.941    0.000    2.941    0.000 {built-in method builtins.sorted}
 16083016    2.790    0.000    2.790    0.000 drivers.py:328(H_ij_orbital)
   748750    1.047    0.000    1.570    0.000 drivers.py:173(exc_degree_spindet)
    32962    0.079    0.000    1.531    0.000 drivers.py:889(do_single_E)
  1666748    0.450    0.000    1.475    0.000 drivers.py:156(<genexpr>)
  6369195    1.392    0.000    1.392    0.000 {built-in method __new__ of type object at 0x55d7a13839a0}
      190    1.283    0.007    1.284    0.007 drivers.py:1500(H_i_implicit_matrix_product_step)
   329184    0.837    0.000    1.185    0.000 drivers.py:265(double_exc_no_phase)
   350012    0.197    0.000    1.130    0.000 drivers.py:147(<genexpr>)
 11339635    0.978    0.000    0.978    0.000 {built-in method builtins.getattr}
   350012    0.197    0.000    0.956    0.000 drivers.py:152(<genexpr>)
  1220424    0.782    0.000    0.782    0.000 {method 'union' of 'set' objects}
  2447400    0.618    0.000    0.618    0.000 drivers.py:539(<listcomp>)
  1226976    0.591    0.000    0.591    0.000 {method 'intersection' of 'set' objects}
   181636    0.157    0.000    0.573    0.000 drivers.py:35(integral_category)
   748750    0.423    0.000    0.423    0.000 {method 'symmetric_difference' of 'set' objects}
   181636    0.260    0.000    0.416    0.000 integral_indexing_utils.py:143(canonical_idx4)
   576072    0.130    0.000    0.277    0.000 drivers.py:408(H_ij_single_indices)
      254    0.079    0.000    0.266    0.001 drivers.py:124(gen_all_connected_det_from_det)
    19671    0.008    0.000    0.257    0.000 drivers.py:995(category_F)
  1232084    0.245    0.000    0.245    0.000 drivers.py:541(<listcomp>)
     2048    0.004    0.000    0.203    0.000 drivers.py:795(category_D)
  2447605    0.202    0.000    0.202    0.000 {method 'items' of 'dict' objects}
    20770    0.024    0.000    0.195    0.000 drivers.py:342(H_ij_spindet)
     3924    0.010    0.000    0.194    0.000 drivers.py:806(do_single_D)
       14    0.017    0.001    0.170    0.012 drivers.py:1455(H_i_1e_matrix_elements)
     1016    0.002    0.000    0.128    0.000 drivers.py:113(gen_all_connected_spindet)
        7    0.000    0.000    0.127    0.018 drivers.py:1857(E)
     1016    0.127    0.000    0.127    0.000 drivers.py:93(gen_all_excitation)
    90832    0.097    0.000    0.119    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
    50743    0.064    0.000    0.105    0.000 integral_indexing_utils.py:47(compound_idx4)
   389199    0.102    0.000    0.102    0.000 {built-in method builtins.min}
756011/755988    0.101    0.000    0.101    0.000 {built-in method builtins.len}
   389178    0.076    0.000    0.076    0.000 {built-in method builtins.max}
        7    0.000    0.000    0.061    0.009 drivers.py:1413(D_i)
      254    0.000    0.000    0.057    0.000 drivers.py:1144(H_ii)
     2168    0.056    0.000    0.056    0.000 {built-in method numpy.array}
    57404    0.025    0.000    0.052    0.000 drivers.py:1145(<genexpr>)
    38129    0.009    0.000    0.052    0.000 drivers.py:678(category_B)
   123048    0.042    0.000    0.042    0.000 drivers.py:494(H_ijkl_orbital)
    25858    0.022    0.000    0.041    0.000 integral_indexing_utils.py:14(compound_idx2)
    38129    0.011    0.000    0.040    0.000 drivers.py:689(do_diagonal_B)
4372/3960    0.007    0.000    0.037    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    59418    0.032    0.000    0.032    0.000 drivers.py:569(do_diagonal)
        1    0.015    0.015    0.031    0.031 io.py:23(load_integrals)
    14330    0.019    0.000    0.022    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
    19359    0.006    0.000    0.021    0.000 drivers.py:1013(do_diagonal_F)
      419    0.005    0.000    0.019    0.000 index_tricks.py:323(__getitem__)
        7    0.018    0.003    0.018    0.003 drivers.py:1888(psi_external_local)
        1    0.000    0.000    0.015    0.015 argparse.py:1706(__init__)
      9/3    0.000    0.000    0.012    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/3    0.000    0.000    0.012    0.004 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       88    0.000    0.000    0.012    0.000 fromnumeric.py:51(_wrapfunc)
      9/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap>:664(_load_unlocked)
      6/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap_external>:877(exec_module)
       81    0.004    0.000    0.010    0.000 drivers.py:1599(mgs)
    57404    0.009    0.000    0.009    0.000 drivers.py:503(H_ii_indices)
        7    0.000    0.000    0.009    0.001 <__array_function__ internals>:2(argpartition)
        7    0.000    0.000    0.009    0.001 fromnumeric.py:763(argpartition)
        7    0.009    0.001    0.009    0.001 {method 'argpartition' of 'numpy.ndarray' objects}
      419    0.001    0.000    0.009    0.000 numerictypes.py:599(find_common_type)
     12/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      6/3    0.000    0.000    0.008    0.003 {built-in method builtins.exec}
        5    0.000    0.000    0.008    0.002 argparse.py:1404(add_argument)
        5    0.000    0.000    0.008    0.002 argparse.py:2554(_get_formatter)
        5    0.000    0.000    0.008    0.002 argparse.py:170(__init__)
      838    0.005    0.000    0.007    0.000 numerictypes.py:575(_can_coerce_all)
       88    0.000    0.000    0.007    0.000 <__array_function__ internals>:2(eigh)
       88    0.005    0.000    0.007    0.000 linalg.py:1336(eigh)
       81    0.001    0.000    0.006    0.000 drivers.py:1622(preconditioning)
        7    0.000    0.000    0.006    0.001 <__array_function__ internals>:2(einsum)
        7    0.000    0.000    0.006    0.001 einsumfunc.py:997(einsum)
        7    0.006    0.001    0.006    0.001 {built-in method numpy.core._multiarray_umath.c_einsum}
        3    0.000    0.000    0.006    0.002 gettext.py:756(gettext)
        3    0.000    0.000    0.006    0.002 gettext.py:679(dgettext)
        3    0.000    0.000    0.006    0.002 gettext.py:598(translation)
        3    0.000    0.000    0.006    0.002 gettext.py:542(find)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
      271    0.000    0.000    0.005    0.000 drivers.py:1635(print_master)
      278    0.005    0.000    0.005    0.000 {built-in method builtins.print}
        6    0.000    0.000    0.005    0.001 gettext.py:211(_expand_lang)
       20    0.000    0.000    0.004    0.000 re.py:288(_compile)
    14330    0.004    0.000    0.004    0.000 {built-in method math.isqrt}
     1608    0.004    0.000    0.004    0.000 {built-in method numpy.zeros}
       16    0.000    0.000    0.004    0.000 re.py:249(compile)
        6    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:950(get_code)
      250    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(norm)
        7    0.000    0.000    0.003    0.000 sre_compile.py:783(compile)
      852    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(dot)
       81    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(clip)
     1930    0.001    0.000    0.003    0.000 drivers.py:654(category_A)
      250    0.002    0.000    0.003    0.000 linalg.py:2363(norm)
       81    0.000    0.000    0.003    0.000 fromnumeric.py:2046(clip)
      419    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
       81    0.000    0.000    0.003    0.000 {method 'clip' of 'numpy.ndarray' objects}
       81    0.000    0.000    0.002    0.000 _methods.py:125(_clip)
      352    0.002    0.000    0.002    0.000 {method 'Allgatherv' of 'mpi4py.MPI.Comm' objects}
     1000    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(ndim)
        1    0.001    0.001    0.002    0.002 locale.py:1(<module>)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     1930    0.001    0.000    0.002    0.000 drivers.py:665(do_diagonal_A)
      848    0.002    0.000    0.002    0.000 {method 'Allreduce' of 'mpi4py.MPI.Comm' objects}
        6    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      753    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(copy)
     6440    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        7    0.000    0.000    0.002    0.000 sre_parse.py:944(parse)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      169    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(diag)
        1    0.000    0.000    0.002    0.002 io.py:93(load_wf)
     5866    0.002    0.000    0.002    0.000 numerictypes.py:584(<listcomp>)
     13/7    0.000    0.000    0.002    0.000 sre_parse.py:436(_parse_sub)
      162    0.001    0.000    0.002    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
      746    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(inner)
        7    0.000    0.000    0.002    0.000 drivers.py:1081(exci)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     14/8    0.001    0.000    0.002    0.000 sre_parse.py:494(_parse)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        7    0.000    0.000    0.002    0.000 drivers.py:1076(N_orb)
      169    0.001    0.000    0.001    0.000 twodim_base.py:234(diag)
        7    0.000    0.000    0.001    0.000 drivers.py:1387(N_orb)
        3    0.001    0.000    0.001    0.000 {built-in method io.open}
        7    0.000    0.000    0.001    0.000 drivers.py:1189(spindet_occ_int)
        7    0.000    0.000    0.001    0.000 drivers.py:1163(get_spindet_a_occ_spindet_b_occ)
        7    0.000    0.000    0.001    0.000 sre_compile.py:622(_code)
