         27505804 function calls (27505661 primitive calls) in 9.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001    9.622    4.811 drivers.py:1984(selection_step)
        2    0.069    0.034    8.337    4.168 drivers.py:1908(psi_external_pt2)
        2    0.010    0.005    5.840    2.920 drivers.py:1961(<listcomp>)
    27371    0.022    0.000    5.831    0.000 drivers.py:1409(H_ii)
    82132    0.561    0.000    5.765    0.000 {built-in method builtins.sum}
    27371    0.014    0.000    5.504    0.000 drivers.py:1144(H_ii)
  6185846    2.463    0.000    5.002    0.000 drivers.py:1145(<genexpr>)
    20765    0.039    0.000    3.524    0.000 drivers.py:1086(H_indices)
    56207    0.054    0.000    3.446    0.000 drivers.py:1099(H_indices_idx)
    64/44    0.000    0.000    2.396    0.054 functools.py:961(__get__)
    32775    0.191    0.000    2.375    0.000 drivers.py:1048(category_G)
        8    0.000    0.000    2.303    0.288 drivers.py:1489(H_i_implicit_matrix_product)
        4    0.002    0.001    2.302    0.576 drivers.py:1467(H_i_2e_matrix_elements)
   456120    0.310    0.000    1.832    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
  6179234    1.662    0.000    1.669    0.000 drivers.py:494(H_ijkl_orbital)
   220162    0.288    0.000    1.597    0.000 drivers.py:623(do_double_oppspin)
   917856    1.065    0.000    1.531    0.000 drivers.py:521(get_dets_occ_in_orbitals)
        2    0.000    0.000    1.238    0.619 drivers.py:1843(E_and_psi_coef)
        2    0.000    0.000    1.238    0.619 drivers.py:1654(distributed_davidson)
        2    0.000    0.000    1.070    0.535 drivers.py:1857(E)
  6185846    0.888    0.000    0.888    0.000 drivers.py:503(H_ii_indices)
   172377    0.176    0.000    0.879    0.000 drivers.py:599(do_double_samespin)
     8196    0.033    0.000    0.490    0.000 drivers.py:878(category_E)
    10066    0.011    0.000    0.344    0.000 drivers.py:713(category_C)
    16624    0.046    0.000    0.319    0.000 drivers.py:725(do_single_C)
    27380    0.030    0.000    0.305    0.000 drivers.py:332(H_ii)
    77539    0.202    0.000    0.288    0.000 drivers.py:209(single_phase)
   121350    0.152    0.000    0.204    0.000 drivers.py:107(apply_excitation)
   917856    0.192    0.000    0.192    0.000 drivers.py:539(<listcomp>)
    70896    0.052    0.000    0.182    0.000 drivers.py:35(integral_category)
    12191    0.023    0.000    0.134    0.000 drivers.py:889(do_single_E)
