         61207484 function calls (60112165 primitive calls) in 21.394 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.011    0.002 argparse.py:1404(add_argument)
        5    0.000    0.000    0.010    0.002 argparse.py:2554(_get_formatter)
        5    0.000    0.000    0.010    0.002 argparse.py:170(__init__)
     1142    0.001    0.000    0.008    0.000 drivers.py:342(H_ij_spindet)
     2503    0.001    0.000    0.008    0.000 drivers.py:678(category_B)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
     2503    0.002    0.000    0.006    0.000 drivers.py:689(do_diagonal_B)
        3    0.000    0.000    0.006    0.002 gettext.py:756(gettext)
        3    0.000    0.000    0.006    0.002 gettext.py:679(dgettext)
        3    0.000    0.000    0.006    0.002 gettext.py:598(translation)
        3    0.000    0.000    0.006    0.002 gettext.py:542(find)
        6    0.000    0.000    0.005    0.001 gettext.py:211(_expand_lang)
       20    0.000    0.000    0.005    0.000 re.py:288(_compile)
       16    0.000    0.000    0.004    0.000 re.py:249(compile)
        7    0.000    0.000    0.004    0.001 sre_compile.py:783(compile)
       14    0.001    0.000    0.004    0.000 drivers.py:124(gen_all_connected_det_from_det)
        6    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:950(get_code)
      242    0.004    0.000    0.004    0.000 {built-in method numpy.array}
        3    0.000    0.000    0.003    0.001 drivers.py:1857(E)
     1467    0.001    0.000    0.003    0.000 drivers.py:1013(do_diagonal_F)
        3    0.000    0.000    0.003    0.001 drivers.py:1413(D_i)
26655/26632    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       14    0.000    0.000    0.003    0.000 drivers.py:1144(H_ii)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
     6440    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
    12960    0.003    0.000    0.003    0.000 {built-in method math.isqrt}
     3164    0.001    0.000    0.003    0.000 drivers.py:1145(<genexpr>)
  450/397    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     6538    0.002    0.000    0.003    0.000 drivers.py:494(H_ijkl_orbital)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        7    0.000    0.000    0.002    0.000 sre_parse.py:944(parse)
        1    0.001    0.001    0.002    0.002 locale.py:1(<module>)
     4122    0.002    0.000    0.002    0.000 drivers.py:569(do_diagonal)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       32    0.002    0.000    0.002    0.000 drivers.py:1500(H_i_implicit_matrix_product_step)
       56    0.001    0.000    0.002    0.000 index_tricks.py:323(__getitem__)
        6    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     13/7    0.000    0.000    0.002    0.000 sre_parse.py:436(_parse_sub)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        3    0.002    0.001    0.002    0.001 {built-in method io.open}
     14/8    0.001    0.000    0.002    0.000 sre_parse.py:494(_parse)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        7    0.000    0.000    0.002    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.001    0.001 io.py:93(load_wf)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
        2    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.001    0.000 argparse.py:1322(__init__)
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
       10    0.000    0.000    0.001    0.000 drivers.py:1622(preconditioning)
       56    0.000    0.000    0.001    0.000 numerictypes.py:599(find_common_type)
     22/7    0.000    0.000    0.001    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.001    0.001 argparse.py:1837(parse_args)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.001    0.001 argparse.py:1844(parse_known_args)
      112    0.001    0.000    0.001    0.000 numerictypes.py:575(_can_coerce_all)
        1    0.000    0.000    0.001    0.001 argparse.py:1883(_parse_known_args)
       11    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       57    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        6    0.000    0.000    0.001    0.000 drivers.py:1455(H_i_1e_matrix_elements)
        8    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.000    0.000    0.001    0.000 argparse.py:1951(consume_optional)
       13    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(eigh)
        7    0.000    0.000    0.001    0.000 sre_compile.py:560(_compile_info)
       13    0.000    0.000    0.001    0.000 linalg.py:1336(eigh)
        3    0.000    0.000    0.001    0.000 drivers.py:1081(exci)
       13    0.000    0.000    0.001    0.000 fromnumeric.py:51(_wrapfunc)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        3    0.000    0.000    0.001    0.000 drivers.py:1076(N_orb)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.001    0.000 drivers.py:1599(mgs)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        3    0.001    0.000    0.001    0.000 drivers.py:1888(psi_external_local)
      152    0.000    0.000    0.001    0.000 drivers.py:654(category_A)
        6    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        4    0.000    0.000    0.000    0.000 argparse.py:2158(_match_argument)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 warnings.py:20(_showwarnmsg_impl)
     3164    0.000    0.000    0.000    0.000 drivers.py:503(H_ii_indices)
        1    0.000    0.000    0.000    0.000 warnings.py:117(_formatwarnmsg)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
        3    0.000    0.000    0.000    0.000 drivers.py:1387(N_orb)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.000    0.000 linecache.py:26(getline)
        4    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        1    0.000    0.000    0.000    0.000 __init__.py:328(namedtuple)
        4    0.000    0.000    0.000    0.000 re.py:187(match)
       42    0.000    0.000    0.000    0.000 drivers.py:1635(print_master)
       10    0.000    0.000    0.000    0.000 sre_compile.py:292(_optimize_charset)
       33    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(norm)
       24    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       56    0.000    0.000    0.000    0.000 drivers.py:113(gen_all_connected_spindet)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(clip)
      175    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        9    0.000    0.000    0.000    0.000 drivers.py:1824(__init__)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(einsum)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       33    0.000    0.000    0.000    0.000 linalg.py:2363(norm)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:2046(clip)
      118    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argpartition)
      152    0.000    0.000    0.000    0.000 drivers.py:665(do_diagonal_A)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       73    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:763(argpartition)
       10    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 einsumfunc.py:997(einsum)
       56    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
       56    0.000    0.000    0.000    0.000 drivers.py:93(gen_all_excitation)
       24    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      132    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       10    0.000    0.000    0.000    0.000 _methods.py:125(_clip)
       52    0.000    0.000    0.000    0.000 {method 'Allgatherv' of 'mpi4py.MPI.Comm' objects}
        3    0.000    0.000    0.000    0.000 {method 'argpartition' of 'numpy.ndarray' objects}
    27/12    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
      111    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
       77    0.000    0.000    0.000    0.000 sre_parse.py:255(get)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        6    0.000    0.000    0.000    0.000 locale.py:396(normalize)
        5    0.000    0.000    0.000    0.000 shutil.py:1377(get_terminal_size)
        4    0.000    0.000    0.000    0.000 glob.py:13(glob)
      744    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      113    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
      784    0.000    0.000    0.000    0.000 numerictypes.py:584(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       22    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:1455(add_argument_group)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       23    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diag)
        8    0.000    0.000    0.000    0.000 glob.py:53(_iglob)
       20    0.000    0.000    0.000    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
      624    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        2    0.000    0.000    0.000    0.000 argparse.py:1632(__init__)
       73    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       12    0.000    0.000    0.000    0.000 _collections_abc.py:816(get)
        1    0.000    0.000    0.000    0.000 tokenize.py:390(open)
       47    0.000    0.000    0.000    0.000 {method 'Allreduce' of 'mpi4py.MPI.Comm' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        7    0.000    0.000    0.000    0.000 enum.py:986(__and__)
       23    0.000    0.000    0.000    0.000 twodim_base.py:234(diag)
        3    0.000    0.000    0.000    0.000 locale.py:362(_replace_encoding)
        4    0.000    0.000    0.000    0.000 argparse.py:1930(take_action)
       31    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        5    0.000    0.000    0.000    0.000 argparse.py:1817(_add_action)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        6    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 drivers.py:1189(spindet_occ_int)
        3    0.000    0.000    0.000    0.000 drivers.py:1163(get_spindet_a_occ_spindet_b_occ)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        5    0.000    0.000    0.000    0.000 argparse.py:1654(_add_action)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      108    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
