         1695706883 function calls (1695706344 primitive calls) in 1321.622 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      366    0.004    0.000    0.017    0.000 index_tricks.py:323(__getitem__)
      748    0.001    0.000    0.017    0.000 <__array_function__ internals>:2(dot)
       78    0.000    0.000    0.016    0.000 fromnumeric.py:51(_wrapfunc)
    14270    0.009    0.000    0.016    0.000 integral_indexing_utils.py:14(compound_idx2)
    13221    0.003    0.000    0.016    0.000 drivers.py:654(category_A)
       24    0.000    0.000    0.015    0.001 drivers.py:1189(spindet_occ_int)
       24    0.000    0.000    0.015    0.001 drivers.py:1163(get_spindet_a_occ_spindet_b_occ)
       72    0.000    0.000    0.014    0.000 drivers.py:1182(<genexpr>)
       48    0.010    0.000    0.014    0.000 drivers.py:1175(get_dets_occ)
        8    0.000    0.000    0.014    0.002 <__array_function__ internals>:2(argpartition)
        8    0.000    0.000    0.014    0.002 fromnumeric.py:763(argpartition)
        8    0.014    0.002    0.014    0.002 {method 'argpartition' of 'numpy.ndarray' objects}
     1151    0.013    0.000    0.013    0.000 {built-in method numpy.zeros}
    13221    0.003    0.000    0.012    0.000 drivers.py:665(do_diagonal_A)
      148    0.000    0.000    0.012    0.000 <__array_function__ internals>:2(diag)
      148    0.001    0.000    0.012    0.000 twodim_base.py:234(diag)
     7195    0.009    0.000    0.010    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
        1    0.000    0.000    0.009    0.009 argparse.py:1706(__init__)
      9/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       70    0.003    0.000    0.008    0.000 drivers.py:1599(mgs)
      366    0.001    0.000    0.007    0.000 numerictypes.py:599(find_common_type)
      9/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
      6/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
      732    0.004    0.000    0.006    0.000 numerictypes.py:575(_can_coerce_all)
     12/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      6/3    0.000    0.000    0.005    0.002 {built-in method builtins.exec}
       78    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(eigh)
        5    0.000    0.000    0.005    0.001 argparse.py:1404(add_argument)
       78    0.004    0.000    0.005    0.000 linalg.py:1336(eigh)
        5    0.000    0.000    0.005    0.001 argparse.py:2554(_get_formatter)
        5    0.000    0.000    0.005    0.001 argparse.py:170(__init__)
        8    0.000    0.000    0.004    0.001 <__array_function__ internals>:2(einsum)
      250    0.004    0.000    0.004    0.000 {built-in method builtins.print}
      242    0.000    0.000    0.004    0.000 drivers.py:1635(print_master)
        8    0.000    0.000    0.004    0.001 einsumfunc.py:997(einsum)
        8    0.004    0.001    0.004    0.001 {built-in method numpy.core._multiarray_umath.c_einsum}
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        3    0.000    0.000    0.003    0.001 gettext.py:756(gettext)
        3    0.000    0.000    0.003    0.001 gettext.py:679(dgettext)
        3    0.000    0.000    0.003    0.001 gettext.py:598(translation)
        3    0.000    0.000    0.003    0.001 gettext.py:542(find)
    51009    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
      218    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(norm)
      366    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
        6    0.000    0.000    0.003    0.000 gettext.py:211(_expand_lang)
       70    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(clip)
